时间,信号类型,量能比率,价格vsEMA%,张力,DXY燃料,V8_Score,Singularity_Score,Opt_Action,Opt_Position,Opt_Reason,黄金信号
2025-08-19 20:00:00,BEARISH_SINGULARITY,1.211057214393044,-2.443886686,0.776455353,0.050583661,0.1614742952524058,0.4905336190262029,ACTION_SINGULARITY,中仓,奇点反转(反手做多),开多
2025-08-20 00:00:00,BEARISH_SINGULARITY,1.3651891070313045,-1.703571631,0.5888154581342092,0.092627213,0.6285450593260065,0.3976583044622622,ACTION_NORMAL,标准仓,V7.0.5趋势,开仓多
2025-08-20 04:00:00,BEARISH_SINGULARITY,0.5920290954909955,-1.571953139,0.4618125735896692,0.092627213,0.4447464587321326,0.3075518775840002,ACTION_NORMAL,标准仓,V7.0.5趋势,继续持多
2025-08-20 08:00:00,BEARISH_SINGULARITY,0.984803652,-1.285444249,0.410808012,0.092627213,0.5745615986000001,0.2948850467,ACTION_NORMAL,标准仓,V7.0.5趋势,继续持多
2025-08-20 12:00:00,BEARISH_SINGULARITY,1.796474068828177,-1.410847421,0.4610508304582983,0.092627213,0.562701586,0.3518203507916596,ACTION_NORMAL,标准仓,V7.0.5趋势,继续持多
2025-08-20 16:00:00,BEARISH_SINGULARITY,0.992283571,-0.550699516,0.507319939,0.092627213,0.8309680548736085,0.2412116200666667,ACTION_V8_HIGH,重仓,V8突变(做空),继续持多
2025-08-20 20:00:00,BEARISH_SINGULARITY,0.5871923921938002,-0.502785443,0.6087008170529308,0.092627213,0.3471941619511069,0.2296903097901728,ACTION_NORMAL,标准仓,V7.0.5趋势,平仓/反手空
2025-08-21 00:00:00,BEARISH_SINGULARITY,0.604902571,-0.704852513,0.7375359013352162,-0.211566892,0.1997836773426788,0.3006326480337098,ACTION_NORMAL,标准仓,V7.0.5趋势,继续持空
2025-08-21 04:00:00,BEARISH_SINGULARITY,0.5896713034729272,-0.684407044,0.833616106,-0.211566892,0.1039533972048038,0.3167887242315285,ACTION_NORMAL,标准仓,V7.0.5趋势,空平/反多
2025-08-21 08:00:00,BEARISH_SINGULARITY,0.599126429,-1.210394602,0.9081441169611252,-0.211566892,0.352498044596562,0.3849234239255584,ACTION_NORMAL,标准仓,V7.0.5趋势,继续持多
