开仓索引,开仓时间,信号类型,方向,开仓价,开仓张力,开仓加速度,开仓量能,平仓索引,平仓时间,平仓价,盈亏%,平仓原因,持仓周期,是好交易
0,2025-08-10 12:00:00,BEARISH_SINGULARITY,short,118815.0,0.7733394173530197,-0.0845191579779157,,30,2025-08-15 12:00:00,117275.22,1.295947481378613,持仓满30周期,30,False
31,2025-08-15 16:00:00,BULLISH_SINGULARITY,long,116936.27,-1.376757060349172,0.1433642834520483,0.6575137533635413,61,2025-08-20 16:00:00,114276.66,-2.274409813140098,持仓满30周期,30,False
75,2025-08-23 00:00:00,BEARISH_SINGULARITY,short,115568.77,0.482901870937082,-0.0492397506583675,0.9649104102932007,85,2025-08-24 16:00:00,112600.0,2.568834123613156,"盈利2.57%,加速度-0.049>-0.05",10,True
86,2025-08-24 20:00:00,BEARISH_SINGULARITY,short,113493.59,0.9451727344888068,-0.0382081877909753,1.438047023510242,89,2025-08-25 08:00:00,111214.97,2.007708100519153,"盈利2.01%,加速度-0.049>-0.05",3,False
90,2025-08-25 12:00:00,BEARISH_SINGULARITY,short,112200.64,0.9899554608979894,-0.0661054025473951,1.362446016158814,93,2025-08-26 00:00:00,109879.56,2.06868695223129,"盈利2.07%,量能1.30>1.27",3,True
94,2025-08-26 04:00:00,BEARISH_SINGULARITY,short,110303.2,0.5345275625055369,-0.0909357766635975,0.5991984065493355,124,2025-08-31 04:00:00,108708.26,1.445959863358454,持仓满30周期,30,False
133,2025-09-01 16:00:00,BULLISH_SINGULARITY,long,109217.64,-0.4760740318065498,0.023287612135092,0.6667709059605984,143,2025-09-03 08:00:00,111437.77,2.032757712032603,"盈利2.03%,张力0.417>-0.01",10,True
144,2025-09-03 12:00:00,BEARISH_SINGULARITY,short,112222.74,0.4336833685097903,-0.0302216211978624,1.420357788248189,174,2025-09-08 12:00:00,112631.75,-0.3644626748553767,持仓满30周期,30,False
175,2025-09-08 16:00:00,BULLISH_SINGULARITY,long,112097.31,-0.5504470292120278,0.0343338309090238,0.9442892785149065,189,2025-09-11 00:00:00,114400.01,2.054197375476715,"盈利2.05%,张力0.044>-0.01",14,True
200,2025-09-12 20:00:00,BULLISH_SINGULARITY,long,116029.42,-0.5603252051864925,0.0270855472927339,0.8438159030817044,230,2025-09-17 20:00:00,116447.59,0.3603999744202792,持仓满30周期,30,False
234,2025-09-18 12:00:00,LOW_OSCILLATION,long,117583.56,-0.7607988833733069,0.007054367018813,1.064226462951409,264,2025-09-23 12:00:00,112882.19,-3.998322554615624,持仓满30周期,30,False
274,2025-09-25 04:00:00,BEARISH_SINGULARITY,short,111766.72,0.3510707379084591,-0.0295471339627648,1.139447356614079,277,2025-09-25 16:00:00,109360.0,2.153342247137611,"盈利2.15%,量能2.40>1.27",3,True
278,2025-09-25 20:00:00,BEARISH_SINGULARITY,short,108994.49,0.4373635635805704,-0.0513889115625864,0.8406212402499301,308,2025-09-30 20:00:00,114048.93,-4.637335336859678,持仓满30周期,30,False
309,2025-10-01 00:00:00,BEARISH_SINGULARITY,short,114176.92,1.239804606463438,-0.1059442618754087,1.0056236723616,339,2025-10-06 00:00:00,123839.09,-8.462454583640895,持仓满30周期,30,False
341,2025-10-06 08:00:00,BULLISH_SINGULARITY,long,124215.0,-0.358772814620885,0.0317321601380146,0.9239220199335617,367,2025-10-10 16:00:00,116661.5,-6.080988608461136,止损:亏损-6.08%<-5%,26,False
368,2025-10-10 20:00:00,BULLISH_SINGULARITY,long,112774.5,-1.062105176870969,0.1246307728711602,7.564454920395598,385,2025-10-13 16:00:00,115792.84,2.676438379243531,"盈利2.68%,张力0.173>-0.01",17,True
388,2025-10-14 04:00:00,BEARISH_SINGULARITY,short,111724.41,0.3837534893151854,-0.0518228549553347,1.257206985441619,402,2025-10-16 12:00:00,108549.21,2.841993079220555,"盈利2.84%,量能1.85>1.27",14,True
