时间,收盘价,张力,加速度,T×A,信号类型,置信度,通过V705过滤器,是否开单(V705),最佳开单点
2024-01-01 00:00:00,42330.49,0.5568984426762719,-0.14136481404752632,-0.07872584479228817,BEARISH_SINGULARITY,0.7,True,是,否
2024-01-01 04:00:00,42492.46,0.49840717323714256,-0.10735902745607256,-0.0535085093958699,BEARISH_SINGULARITY,0.7,True,是,否
2024-01-01 08:00:00,42690.2,0.4153978006314592,-0.0685700865628684,-0.028483863147324304,BEARISH_SINGULARITY,0.7,True,是,否
2024-01-01 12:00:00,42783.05,0.39441927265313703,-0.05425153858072507,-0.021397852387323182,BEARISH_SINGULARITY,0.7,True,是,否
2024-01-01 16:00:00,43517.99,0.2725158927190233,-0.018366525839979053,-0.005005170185428901,OSCILLATION,0.8,False,否,否
2024-01-01 20:00:00,44179.55,0.21456268124237174,-0.0046230292646904925,-0.0009919295544939424,OSCILLATION,0.8,False,否,否
2024-01-02 00:00:00,45402.38,0.15889650775361505,0.004825645832989167,0.0007667782705177633,OSCILLATION,0.8,False,否,否
2024-01-02 08:00:00,45433.99,0.574532938954314,-0.11279845065223892,-0.06480642536272399,BEARISH_SINGULARITY,0.7,True,是,否
2024-01-02 12:00:00,45184.82,0.8010698024247934,-0.17639168246302406,-0.1413020502200316,BEARISH_SINGULARITY,0.7,True,是,否
2024-01-02 16:00:00,45039.49,0.9445308611449927,-0.216588343375408,-0.2045743744823415,BEARISH_SINGULARITY,0.7,True,是,否
2024-01-02 20:00:00,44946.91,0.9824072497249995,-0.22571439924123138,-0.22174346218190863,BEARISH_SINGULARITY,0.7,True,是,否
2024-01-03 00:00:00,45262.69,0.8849871368657726,-0.19615683072205176,-0.1735962719973726,BEARISH_SINGULARITY,0.7,True,是,否
2024-01-03 04:00:00,45011.77,0.7641074256891676,-0.15436658023107608,-0.11795265023280789,BEARISH_SINGULARITY,0.7,True,是,否
2024-01-03 08:00:00,43702.88,0.7172958314871436,-0.12508367406879928,-0.08972199799664624,BEARISH_SINGULARITY,0.7,True,是,否
2024-01-03 12:00:00,43000.01,0.6266518424951998,-0.08762269752697927,-0.05490892484968114,BEARISH_SINGULARITY,0.7,True,是,否
2024-01-03 16:00:00,42596.67,0.4633397626073265,-0.03852794756311978,-0.01785153007764344,BEARISH_SINGULARITY,0.7,True,是,否
2024-01-04 08:00:00,43176.32,-0.4124805159383379,0.15155049612247504,-0.06251162683130958,BULLISH_SINGULARITY,0.6,True,是,否
2024-01-04 12:00:00,44051.1,-0.5452312108984957,0.16614662830887456,-0.09058832733954995,BULLISH_SINGULARITY,0.6,False,否,否
2024-01-04 16:00:00,43956.48,-0.5431711478010037,0.15200304425579425,-0.08256366801766653,BULLISH_SINGULARITY,0.6,True,是,否
2024-01-04 20:00:00,44151.1,-0.46259744194378,0.11991538101669613,-0.055472548508037345,BULLISH_SINGULARITY,0.6,True,是,否
2024-01-05 08:00:00,43771.34,-0.0018938785460891274,-0.016841412277874668,3.1895589398908855e-05,OSCILLATION,0.8,False,否,否
2024-01-06 08:00:00,43671.96,-0.1782558593150484,-0.004812263037324238,0.0008578140829682768,OSCILLATION,0.8,False,否,否
2024-01-06 12:00:00,43867.17,-0.27149425571917984,0.01634804060466563,-0.004438399116430626,OSCILLATION,0.8,False,否,否
2024-01-06 20:00:00,43968.32,-0.39306980469202885,0.045812294919672314,-0.01800742981656922,BULLISH_SINGULARITY,0.6,True,是,否
2024-01-07 00:00:00,43940.41,-0.40583237118302484,0.05062627062904529,-0.020545779453538977,BULLISH_SINGULARITY,0.6,True,是,否
2024-01-07 04:00:00,44080.0,-0.3985332753065191,0.04994480503083387,-0.019904666733483737,BULLISH_SINGULARITY,0.6,True,是,否
2024-01-07 08:00:00,44061.1,-0.36199259275083573,0.04311101541636686,-0.01560586824669189,BULLISH_SINGULARITY,0.6,True,是,否
2024-01-07 16:00:00,44244.77,-0.25578047586117814,0.019691045168279797,-0.005036584903346559,OSCILLATION,0.8,False,否,否
2024-01-07 20:00:00,43929.02,-0.17971606372662127,0.004182386381894804,-0.0007516420175379595,OSCILLATION,0.8,False,否,否
2024-01-08 00:00:00,43518.2,-0.09476709472044681,-0.012146469267832027,0.001151085603623634,OSCILLATION,0.8,False,否,否
2024-01-08 12:00:00,44963.04,-0.17820588549173483,-0.0192966709998888,0.0034387803425778634,OSCILLATION,0.8,False,否,否
2024-01-08 16:00:00,46979.35,-0.3272597817514437,-0.00594927860064004,0.001946959616423994,OSCILLATION,0.8,False,否,否
2024-01-08 20:00:00,46951.04,-0.3703607827937338,-0.0008681821480867602,0.00032154061997295783,OSCILLATION,0.8,False,否,否
2024-01-09 00:00:00,46926.96,-0.3337891954672893,-0.0023623362772283163,0.000788522325399231,OSCILLATION,0.8,False,否,否
2024-01-09 04:00:00,46825.51,-0.24225524266212972,-0.008543596983348167,0.0020697311604084495,OSCILLATION,0.8,False,否,否
