时间,开盘价,收盘价,最高价,最低价,交易量,量能比率,EMA偏离%,张力,加速度,信号类型,置信度,信号描述,交易方向,通过V705过滤器,过滤原因,是否开单
2025-12-01 00:00:00,90360.01,86346.13,90417.0,86161.61,10249.65966,4.334908124243001,-4.36600400136899,-0.2757935912381955,0.1781071885303483,OSCILLATION,0.4,系统平衡震荡(T=-0.28),none,False,置信度不足(0.4) - 系统平衡震荡，无明显趋势,否
2025-12-01 04:00:00,86346.13,86550.3,86578.06,85604.0,4937.16707,1.9310206290752683,-3.760425154912571,-0.3281333419572256,0.1511297752625838,OSCILLATION,0.4,系统平衡震荡(T=-0.33),none,False,置信度不足(0.4) - 系统平衡震荡，无明显趋势,否
2025-12-01 08:00:00,86550.3,86149.15,86938.01,86131.01,3005.76787,1.1513920073753312,-3.8211745463175824,-0.5259153162595662,0.1888518737348397,BULLISH_SINGULARITY,0.6,奇点看涨(T=-0.53<=-0.35),short,False,量能放大(1.15),否
2025-12-01 12:00:00,86146.59,84677.87,86674.0,83822.76,8124.37241,2.7793936216841635,-4.969245435552773,-0.6565300601366821,0.21948038170449669,BULLISH_SINGULARITY,0.6,奇点看涨(T=-0.66<=-0.35),short,False,量能放大(2.78),否
2025-12-01 16:00:00,84677.87,85024.5,85555.0,84030.95,4598.10295,1.535663352932701,-4.162178795542726,-0.822863624919096,0.2652986878391893,BULLISH_SINGULARITY,0.6,奇点看涨(T=-0.82<=-0.35),short,False,量能放大(1.54),否
2025-12-01 20:00:00,85024.5,86286.01,86860.0,85007.69,3593.94231,1.2301368258692824,-2.4857440998844553,-0.9891136367462884,0.31277924083605413,BULLISH_SINGULARITY,0.6,奇点看涨(T=-0.99<=-0.35),short,False,量能放大(1.23),否
2025-12-02 00:00:00,86286.01,86976.99,87350.0,86184.39,3245.81604,1.1613310281170652,-1.5449901553922019,-1.0537233020236023,0.3299654451219166,BULLISH_SINGULARITY,0.6,奇点看涨(T=-1.05<=-0.35),short,False,量能放大(1.16),否
2025-12-02 04:00:00,86977.0,87012.65,87288.48,86818.14,1733.23534,0.6123891049634336,-1.3632802422283798,-0.9841710420614808,0.3046669170354862,BULLISH_SINGULARITY,0.6,奇点看涨(T=-0.98<=-0.35),short,True,通过V7.0.5,是
2025-12-02 08:00:00,87012.64,87368.92,87628.78,86296.21,3361.03567,1.1388340844167386,-0.8688368650749163,-0.8379935141599242,0.2518205229118605,BULLISH_SINGULARITY,0.6,奇点看涨(T=-0.84<=-0.35),short,False,量能放大(1.14),否
2025-12-02 12:00:00,87368.92,90850.01,91200.0,87032.75,9300.50019,2.7722610802663734,2.7793285214690604,-0.7624906303259202,0.21320500585317315,BULLISH_SINGULARITY,0.6,奇点看涨(T=-0.76<=-0.35),short,False,量能放大(2.77),否
2025-12-02 16:00:00,90850.01,91903.39,92307.65,90201.0,6152.68006,1.7021724477367042,3.579296017748903,-0.5980786155684713,0.1550558877968139,BULLISH_SINGULARITY,0.6,奇点看涨(T=-0.60<=-0.35),short,False,量能放大(1.70),否
2025-12-02 20:00:00,91903.38,91277.88,92000.0,90720.87,4416.96002,1.1691107216783432,2.5934737803001937,-0.32680160815219017,0.0749968275374936,OSCILLATION,0.4,系统平衡震荡(T=-0.33),none,False,置信度不足(0.4) - 系统平衡震荡，无明显趋势,否
2025-12-03 00:00:00,91277.88,92628.91,93087.09,90990.23,4425.07634,1.1376456508239126,3.7058582992640443,-0.10102483444940118,0.01015583844499024,OSCILLATION,0.8,系统平衡震荡,none,False,系统平衡震荡，无明显趋势,否
2025-12-03 04:00:00,92628.91,92999.99,93958.58,92625.0,4546.45939,1.1173610809568417,3.714228952089129,0.10130764459522042,-0.04102714611497077,HIGH_OSCILLATION,0.5,高位震荡(快速变化T=0.10),short,False,置信度不足(0.5) - 牛市回调(价格>EMA 3.7%),否
2025-12-03 08:00:00,93000.0,93005.68,93389.62,92666.0,2770.10259,0.667225707718235,3.354348240791093,0.26749144830924443,-0.07509757780527815,HIGH_OSCILLATION,0.5,高位震荡(快速变化T=0.27),short,False,置信度不足(0.5) - 牛市回调(价格>EMA 3.4%),否
2025-12-03 12:00:00,93005.68,92373.3,93700.0,91697.0,6523.23972,1.46578505216518,2.393026923313316,0.4003445366916957,-0.09346193903762495,BEARISH_SINGULARITY,0.7,奇点看空(T=0.40>=0.35),long,True,通过V7.0.5,是
2025-12-03 16:00:00,92373.3,93024.99,93500.0,91786.99,3624.68485,0.8044507861362434,2.8103619049528388,0.43667337343442175,-0.08488612732075096,BEARISH_SINGULARITY,0.7,奇点看空(T=0.44>=0.35),long,True,通过V7.0.5,是
2025-12-03 20:00:00,93025.0,93429.95,94150.0,92825.56,3822.96296,0.8373629780064671,2.9385242769762767,0.4156638142503494,-0.05926173792221681,BEARISH_SINGULARITY,0.7,奇点看空(T=0.42>=0.35),long,True,通过V7.0.5,是
2025-12-04 00:00:00,93429.95,93543.04,94080.0,92669.82,3844.7002,0.8171063286976329,2.763336259680226,0.3761415862506107,-0.02740142034363363,BEARISH_SINGULARITY,0.7,奇点看空(T=0.38>=0.35),long,True,通过V7.0.5,是
2025-12-04 04:00:00,93543.03,93397.67,93588.48,92775.0,3070.50786,0.6440703353840591,2.349845231171101,0.34611180399104824,0.001990254798166502,OSCILLATION,0.8,系统平衡震荡,none,False,系统平衡震荡，无明显趋势,否
2025-12-04 08:00:00,93397.67,92948.31,93621.31,92736.9,1917.02375,0.44062250040510825,1.677549930947947,0.34288581675413854,0.023073117636306262,HIGH_OSCILLATION,0.5,高位震荡(快速变化T=0.34),short,False,置信度不足(0.5) - 无向下动能(a=0.023),否
2025-12-04 12:00:00,92948.32,92971.49,93257.0,91801.0,4296.15789,0.9947880831005713,1.53823054580241,0.34597716405191514,0.03769646664885343,HIGH_OSCILLATION,0.5,高位震荡(快速变化T=0.35),short,False,置信度不足(0.5) - 无向下动能(a=0.038),否
2025-12-04 16:00:00,92971.49,91975.44,93174.55,90889.0,4860.7112,1.1018488981228227,0.40733073849815277,0.39073336216144694,0.03967044444711301,HIGH_OSCILLATION,0.5,高位震荡(快速变化T=0.39),short,False,置信度不足(0.5) - 无向下动能(a=0.040),否
2025-12-04 20:00:00,91975.43,92078.06,92718.53,91688.92,1814.83969,0.44308291648798864,0.46966345406110344,0.4167589120710836,0.03894717329453953,HIGH_OSCILLATION,0.5,高位震荡(快速变化T=0.42),short,False,置信度不足(0.5) - 无向下动能(a=0.039),否
2025-12-05 00:00:00,92078.06,92142.75,92692.36,91959.92,1751.29187,0.44296172247852234,0.4885453700448501,0.4288239111981342,0.035984990343662565,HIGH_OSCILLATION,0.5,高位震荡(快速变化T=0.43),short,False,置信度不足(0.5) - 无向下动能(a=0.036),否
