时间,收盘价,交易量,量能比率,EMA偏离%,张力,加速度,信号类型,置信度,信号描述,交易方向,通过V705过滤器,过滤原因,是否开单
2025/12/1 0:00,91460.79,1049.01646,0.519165923,0.782184833,0.380181285,-0.001851951,OSCILLATION,0.8,系统平衡震荡(|T|=0.38<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/1 4:00,90360,1828.79496,0.930237284,-0.389926166,0.431860807,-0.001881869,OSCILLATION,0.8,系统平衡震荡(|T|=0.43<0.5),none,FALSE,系统平衡震荡，无明显趋势,否
2025/12/1 8:00,86346.13,10249.65966,4.334908124,-4.376217168,0.506747934,-0.002177508,HIGH_OSCILLATION,0.6,高位震荡(T=0.51>0.3),short,FALSE,高位放量(4.33),否
2025/12/1 12:00,86550.3,4937.16707,1.931020629,-3.769761052,0.578872811,-0.00254738,HIGH_OSCILLATION,0.6,高位震荡(T=0.58>0.3),short,FALSE,高位放量(1.93),否
2025/12/1 16:00,86149.15,3005.76787,1.151392007,-3.829650008,0.652097738,-0.003005247,HIGH_OSCILLATION,0.6,高位震荡(T=0.65>0.3),short,FALSE,高位放量(1.15),否
2025/12/1 20:00,84677.87,8124.37241,2.779393622,-4.976861869,0.725679454,-0.003565697,HIGH_OSCILLATION,0.6,高位震荡(T=0.73>0.3),short,FALSE,高位放量(2.78),否
2025/12/2 0:00,85024.5,4598.10295,1.535663353,-4.169158877,0.78926669,-0.004130309,HIGH_OSCILLATION,0.6,高位震荡(T=0.79>0.3),short,FALSE,高位放量(1.54),否
2025/12/2 4:00,86286.01,3593.94231,1.230136826,-2.492186738,0.839889498,-0.00465589,HIGH_OSCILLATION,0.6,高位震荡(T=0.84>0.3),short,FALSE,高位放量(1.23),否
2025/12/2 8:00,86976.99,3245.81604,1.161331028,-1.550885052,0.883407851,-0.005165957,HIGH_OSCILLATION,0.6,高位震荡(T=0.88>0.3),short,FALSE,高位放量(1.16),否
2025/12/2 12:00,87012.65,1733.23534,0.612389105,-1.368631262,0.91992299,-0.005676936,HIGH_OSCILLATION,0.6,高位震荡(T=0.92>0.3),short,TRUE,通过V7.0.5,是
