信号索引,信号类型,方向,普通信号时间,普通信号价格,普通信号张力,普通信号加速度,普通信号量能比率,信号前5周期平均张力,信号前5周期平均加速度,信号前5周期平均量能比率,开仓等待周期,开仓时间,开仓价格,开仓张力,开仓加速度,开仓量能比率,价格优势%,方向是否改变,持仓周期,平仓时间,平仓价格,平仓张力,平仓加速度,平仓量能比率,最优盈亏%
5,BEARISH_SINGULARITY,short,2025-08-11 08:00:00,120561.54,0.5851209594393163,-0.0679277223215729,,0.6235357376184334,-0.0712198986502858,,0,2025-08-11 08:00:00,120561.54,0.5851209594393163,-0.0679277223215729,,0.0,True,26,2025-08-15 16:00:00,116936.27,-1.376757060349172,0.1433642834520483,0.6575137533635413,3.006987137025613
6,BEARISH_SINGULARITY,short,2025-08-11 12:00:00,120314.4,0.627769121624933,-0.0761791748621619,,0.5992740216637523,-0.06982990146432684,,0,2025-08-11 12:00:00,120314.4,0.627769121624933,-0.0761791748621619,,0.0,True,25,2025-08-15 16:00:00,116936.27,-1.376757060349172,0.1433642834520483,0.6575137533635413,2.807752023032979
7,BEARISH_SINGULARITY,short,2025-08-11 16:00:00,119089.3,0.6365680809336108,-0.0797075149129932,,0.5873005162611705,-0.06970673714094056,,0,2025-08-11 16:00:00,119089.3,0.6365680809336108,-0.0797075149129932,,0.0,True,24,2025-08-15 16:00:00,116936.27,-1.376757060349172,0.1433642834520483,0.6575137533635413,1.8079122137757118
8,BEARISH_SINGULARITY,short,2025-08-11 20:00:00,118686.0,0.5934326901820595,-0.0757075655210445,,0.5874070753736191,-0.07104219090433993,,10,2025-08-13 12:00:00,120920.62,-0.4004817356474436,0.0453089827335421,,1.8827999932595212,False,29,2025-08-18 08:00:00,114947.27,-0.4127946555464085,0.0457824181480648,1.549593269609885,4.939893626082956
9,BEARISH_SINGULARITY,short,2025-08-12 00:00:00,118857.7,0.4994074192284805,-0.0661137783207126,,0.5824592749935379,-0.07154043947444463,,10,2025-08-13 16:00:00,122744.21,-0.4025865627958822,0.0400863613434891,1.2082802981338485,3.2698849127990948,False,28,2025-08-18 08:00:00,114947.27,-0.4127946555464085,0.0457824181480648,1.549593269609885,6.352185573559846
10,BEARISH_SINGULARITY,short,2025-08-12 04:00:00,118986.72,0.3773572082111734,-0.0529266795748302,,0.553275913269929,-0.0697604059188859,,10,2025-08-13 20:00:00,123306.43,-0.3603211985640602,0.0300952590901555,1.1171152887352953,3.6304135453099233,False,27,2025-08-18 08:00:00,114947.27,-0.4127946555464085,0.0457824181480648,1.549593269609885,6.779176073786249
11,BULLISH_SINGULARITY,long,2025-08-13 08:00:00,120570.41,-0.3632686299070283,0.0457893006284492,,-0.22192474252409647,0.026547224040298568,,0,2025-08-13 08:00:00,120570.41,-0.3632686299070283,0.0457893006284492,,0.0,True,4,2025-08-14 00:00:00,123337.14,-0.2638301405235951,0.0131417846239835,0.959393422969009,2.2947006649475568
12,BULLISH_SINGULARITY,long,2025-08-13 12:00:00,120920.62,-0.4004817356474436,0.0453089827335421,,-0.2924018504708694,0.03556095239368152,,0,2025-08-13 12:00:00,120920.62,-0.4004817356474436,0.0453089827335421,,0.0,True,3,2025-08-14 00:00:00,123337.14,-0.2638301405235951,0.0131417846239835,0.959393422969009,1.9984350063702983
13,BULLISH_SINGULARITY,long,2025-08-13 16:00:00,122744.21,-0.4025865627958822,0.0400863613434891,1.2082802981338483,-0.3373614844085821,0.040193124658797486,1.2082802981338485,3,2025-08-14 04:00:00,121725.31,-0.1572583641187062,-0.0037598809527907,1.0197022046484472,0.8301002548307644,True,1,2025-08-14 08:00:00,120949.67,-0.0273161674317486,-0.0235659301108697,0.9947307652650311,-0.637205195862717
14,BULLISH_SINGULARITY,long,2025-08-13 20:00:00,123306.43,-0.3603211985640602,0.0300952590901555,1.1171152887352953,-0.3592049213164896,0.04064485438051745,1.162697793434572,10,2025-08-15 12:00:00,117275.22,-1.1979175489222706,0.1173702827075209,1.4098832292197638,4.891237220962437,False,11,2025-08-17 08:00:00,118308.01,-1.06495481173857,0.1015919580896871,0.4251420318760478,0.8806549243736176
15,BULLISH_SINGULARITY,long,2025-08-15 04:00:00,118956.45,-0.8050073129625414,0.0565937635539306,0.4845422413720835,-0.280860808556519,-0.003917973820911666,1.0897669810565394,3,2025-08-15 16:00:00,116936.27,-1.376757060349172,0.1433642834520483,0.6575137533635413,1.6982517551591303,False,10,2025-08-17 08:00:00,118308.01,-1.06495481173857,0.1015919580896871,0.4251420318760478,1.173066320654824
16,BULLISH_SINGULARITY,long,2025-08-15 08:00:00,119006.01,-1.0091647840364837,0.0885537251670626,0.3193277812009141,-0.4445022446573083,0.014768635392077048,0.9771998170458533,2,2025-08-15 16:00:00,116936.27,-1.376757060349172,0.1433642834520483,0.6575137533635413,1.7391894745483785,False,10,2025-08-17 08:00:00,118308.01,-1.06495481173857,0.1015919580896871,0.4251420318760478,1.173066320654824
17,BULLISH_SINGULARITY,long,2025-08-15 12:00:00,117275.22,-1.1979175489222706,0.1173702827075209,1.4098832292197638,-0.6472980623736188,0.03995092097853648,0.7081584850726929,1,2025-08-15 16:00:00,116936.27,-1.376757060349172,0.1433642834520483,0.6575137533635413,0.289020988406585,True,10,2025-08-17 08:00:00,118308.01,-1.06495481173857,0.1015919580896871,0.4251420318760478,1.173066320654824
18,BULLISH_SINGULARITY,long,2025-08-15 16:00:00,116936.27,-1.376757060349172,0.1433642834520483,0.6575137533635413,-0.866030955717104,0.06891739760999295,0.6625670203482817,0,2025-08-15 16:00:00,116936.27,-1.376757060349172,0.1433642834520483,0.6575137533635413,0.0,True,10,2025-08-17 08:00:00,118308.01,-1.06495481173857,0.1015919580896871,0.4251420318760478,1.173066320654824
19,BULLISH_SINGULARITY,long,2025-08-15 20:00:00,117342.05,-1.513084872403328,0.1632384064380758,0.3912820298120253,-1.0732019868224112,0.0980069451808789,0.6308177069283452,0,2025-08-15 20:00:00,117342.05,-1.513084872403328,0.1632384064380758,0.39128202981202537,0.0,True,9,2025-08-17 08:00:00,118308.01,-1.06495481173857,0.1015919580896871,0.4251420318760478,0.8232002082799745
