时间,收盘价,信号类型,置信度,描述,张力,加速度,量能比率,EMA偏离%,DXY燃料,V705通过,过滤原因
2025-07-24 20:00:00,118340.99,HIGH_OSCILLATION,0.6,高位震荡(T=0.97>0.3),0.9702371840645351,0.0,,0.0,0.0,False,无向下动能(a=0.000)
2025-07-25 00:00:00,115419.66,HIGH_OSCILLATION,0.6,高位震荡(T=0.98>0.3),0.9772309562906887,0.0,,-0.022387312595499847,0.0,False,无向下动能(a=0.000)
2025-07-25 04:00:00,115320.01,HIGH_OSCILLATION,0.6,高位震荡(T=0.98>0.3),0.9831506757954052,-0.0010740527214371243,,-0.021065452657799202,0.0,True,
2025-07-25 08:00:00,116543.58,HIGH_OSCILLATION,0.6,高位震荡(T=0.99>0.3),0.9879905412340653,-0.0010798540660563738,,-0.009671560121980494,0.0,True,
2025-07-25 12:00:00,115727.08,HIGH_OSCILLATION,0.6,高位震荡(T=0.99>0.3),0.9917460281362237,-0.0010843785365016734,,-0.015051692127231479,0.0,True,
2025-07-25 16:00:00,116688.6,HIGH_OSCILLATION,0.6,高位震荡(T=0.99>0.3),0.9944138998441778,-0.0010876151942043055,,-0.0062181855931409,0.0,True,
2025-07-25 20:00:00,117614.31,HIGH_OSCILLATION,0.6,高位震荡(T=1.00>0.3),0.9959922167088174,-0.001089554843314522,,0.001506777838548032,0.0,True,
2025-07-26 00:00:00,117489.62,HIGH_OSCILLATION,0.6,高位震荡(T=1.00>0.3),0.9964803435210023,-0.0010901900524546981,,0.0004026203512652037,0.0,True,
2025-07-26 04:00:00,117304.47,HIGH_OSCILLATION,0.6,高位震荡(T=1.00>0.3),0.9958789551592757,-0.0010895151739115372,,-0.0010622169703517915,0.0,True,
2025-07-26 08:00:00,117776.11,HIGH_OSCILLATION,0.6,高位震荡(T=0.99>0.3),0.9941900404373624,-0.0010875263601867191,,0.0026720599888243593,0.0,True,
2025-07-26 12:00:00,118130.1,HIGH_OSCILLATION,0.6,高位震荡(T=0.99>0.3),0.9914169041375072,-0.0010842215779418574,,0.005141429033530576,0.0,True,
2025-07-26 16:00:00,118232.11,HIGH_OSCILLATION,0.6,高位震荡(T=0.99>0.3),0.9875641672184002,-0.0010796006192517194,,0.0054339737003413794,0.0,True,
2025-07-26 20:00:00,117919.99,HIGH_OSCILLATION,0.6,高位震荡(T=0.98>0.3),0.9826377651891499,-0.0010736651101433958,,0.002514334151336085,0.0,True,
2025-07-27 00:00:00,118182.83,HIGH_OSCILLATION,0.6,高位震荡(T=0.98>0.3),0.9766449446434826,-0.0010664185164169782,,0.004294688212005367,0.0,True,
2025-07-27 04:00:00,118095.95,HIGH_OSCILLATION,0.6,高位震荡(T=0.97>0.3),0.9695942579510916,-0.0010578661467237627,,0.00321660474655098,0.0,True,
2025-07-27 08:00:00,118072.71,HIGH_OSCILLATION,0.6,高位震荡(T=0.96>0.3),0.9614955561058501,-0.0010480151528503567,,0.0027308561820655122,0.0,True,
2025-07-27 12:00:00,118585.74,HIGH_OSCILLATION,0.6,高位震荡(T=0.95>0.3),0.9523599797333436,-0.0010368745272650859,,0.006408406113704348,0.0,True,
2025-07-27 16:00:00,118960.0,HIGH_OSCILLATION,0.6,高位震荡(T=0.94>0.3),0.9421999482629871,-0.0010244550978499856,,0.00866392653453803,0.0,True,
2025-07-27 20:00:00,119415.55,HIGH_OSCILLATION,0.6,高位震荡(T=0.93>0.3),0.9310291472727765,-0.0010107695198541267,,0.01132003403502138,0.0,True,
2025-07-28 00:00:00,119287.99,HIGH_OSCILLATION,0.6,高位震荡(T=0.92>0.3),0.9188625140174963,-0.0009958322650696072,0.6293413530056361,0.009255499995415084,0.0,True,
2025-07-28 04:00:00,118900.0,HIGH_OSCILLATION,0.6,高位震荡(T=0.91>0.3),0.905716221153994,-0.0009796596082221054,0.8012307549644325,0.0054009324230519145,0.0,True,
2025-07-28 08:00:00,118827.49,HIGH_OSCILLATION,0.6,高位震荡(T=0.89>0.3),0.8916076586799014,-0.0009622696105902051,0.8266536740881302,0.004329843378988837,0.0,True,
2025-07-28 12:00:00,118174.9,HIGH_OSCILLATION,0.6,高位震荡(T=0.88>0.3),0.8765554141049341,-0.0009436821008748097,1.693081979669278,-0.0010730301411400653,0.0,False,高位放量(1.69)
2025-07-28 16:00:00,118068.73,HIGH_OSCILLATION,0.6,高位震荡(T=0.86>0.3),0.8605792508766388,-0.0009239186533279709,1.2826277661963104,-0.0017831500950937329,0.0,False,高位放量(1.28)
2025-07-28 20:00:00,118062.32,HIGH_OSCILLATION,0.6,高位震荡(T=0.84>0.3),0.8437000850851574,-0.000903002563186095,0.7675091820771771,-0.0016626495238837656,0.0,True,
2025-07-29 00:00:00,118764.85,HIGH_OSCILLATION,0.6,高位震荡(T=0.83>0.3),0.8259399604742774,-0.0008809588193985363,1.3077590244199713,0.003868957368091048,0.0,False,高位放量(1.31)
2025-07-29 04:00:00,118882.37,HIGH_OSCILLATION,0.6,高位震荡(T=0.81>0.3),0.8073220217886871,-0.0008578140747104168,1.469888715590229,0.004397191315140761,0.0,False,高位放量(1.47)
2025-07-29 08:00:00,118592.38,HIGH_OSCILLATION,0.6,高位震荡(T=0.79>0.3),0.7878704864899468,-0.0008335966131498562,1.0952358980189842,0.0017613925020362258,0.0,True,
