时间,收盘价,信号类型,方向,置信度,张力,加速度,量能比率,EMA偏离%,DXY燃料,V705通过,过滤原因
2025-07-24 20:00:00,118340.99,HIGH_OSCILLATION,做空,0.6,0.9702371840645352,0.0,,0.0,0.0,True,
2025-07-25 00:00:00,115419.66,HIGH_OSCILLATION,做空,0.6,0.9772309562906888,0.0,,-2.2387312595499846,0.0,False,趋势不符
2025-07-25 04:00:00,115320.01,BEARISH_SINGULARITY,做空,0.7,0.9831506757954052,-0.0010740527214371,,-2.1065452657799204,0.0,False,趋势不符
2025-07-25 08:00:00,116543.58,BEARISH_SINGULARITY,做空,0.7,0.9879905412340652,-0.0010798540660563,,-0.9671560121980495,0.0,True,
2025-07-25 12:00:00,115727.08,BEARISH_SINGULARITY,做空,0.7,0.9917460281362236,-0.0010843785365016,,-1.505169212723148,0.0,True,
2025-07-25 16:00:00,116688.6,BEARISH_SINGULARITY,做空,0.7,0.9944138998441778,-0.0010876151942043,,-0.62181855931409,0.0,True,
2025-07-25 20:00:00,117614.31,BEARISH_SINGULARITY,做空,0.7,0.9959922167088174,-0.0010895548433145,,0.15067778385480318,0.0,True,
2025-07-26 00:00:00,117489.62,BEARISH_SINGULARITY,做空,0.7,0.9964803435210025,-0.0010901900524546,,0.040262035126520365,0.0,True,
2025-07-26 04:00:00,117304.47,BEARISH_SINGULARITY,做空,0.7,0.9958789551592756,-0.0010895151739115,,-0.10622169703517914,0.0,True,
2025-07-26 08:00:00,117776.11,BEARISH_SINGULARITY,做空,0.7,0.9941900404373624,-0.0010875263601867,,0.2672059988824359,0.0,True,
2025-07-26 12:00:00,118130.1,BEARISH_SINGULARITY,做空,0.7,0.9914169041375072,-0.0010842215779418,,0.5141429033530576,0.0,True,
2025-07-26 16:00:00,118232.11,BEARISH_SINGULARITY,做空,0.7,0.9875641672184002,-0.0010796006192517,,0.5433973700341379,0.0,True,
2025-07-26 20:00:00,117919.99,BEARISH_SINGULARITY,做空,0.7,0.98263776518915,-0.0010736651101433,,0.2514334151336085,0.0,True,
2025-07-27 00:00:00,118182.83,BEARISH_SINGULARITY,做空,0.7,0.9766449446434826,-0.0010664185164169,,0.4294688212005367,0.0,True,
2025-07-27 04:00:00,118095.95,BEARISH_SINGULARITY,做空,0.7,0.9695942579510916,-0.0010578661467237,,0.321660474655098,0.0,True,
2025-07-27 08:00:00,118072.71,BEARISH_SINGULARITY,做空,0.7,0.96149555610585,-0.0010480151528503,,0.2730856182065512,0.0,True,
2025-07-27 12:00:00,118585.74,BEARISH_SINGULARITY,做空,0.7,0.9523599797333436,-0.001036874527265,,0.6408406113704348,0.0,True,
2025-07-27 16:00:00,118960.0,BEARISH_SINGULARITY,做空,0.7,0.9421999482629873,-0.0010244550978499,,0.8663926534538031,0.0,True,
2025-07-27 20:00:00,119415.55,BEARISH_SINGULARITY,做空,0.7,0.9310291472727764,-0.0010107695198541,,1.132003403502138,0.0,True,
2025-08-01 04:00:00,115081.77,HIGH_OSCILLATION,做空,0.6,0.3576306732630595,-0.0002922397929971,1.0520713573825171,-1.933041429524611,0.6626971946283834,True,
2025-08-01 08:00:00,115305.65,HIGH_OSCILLATION,做空,0.6,0.3283303804731798,-0.000255151210659,1.1668453885839576,-1.578952266186306,0.6626971946283834,True,
2025-08-14 20:00:00,118295.09,LOW_OSCILLATION,做多,0.6,-0.3525496953451074,0.0002841355198899,0.5817779103316446,-1.3537733637372844,-0.5320719862965069,True,
