时间,收盘价,信号类型,方向,置信度,张力,加速度,DXY燃料,量能比率,EMA偏离%,V705通过,过滤原因
2025-07-25 00:00:00,115419.66,HIGH_OSCILLATION,做空,0.6,0.4884700876584745,0.0,0.0,,0.0,True,
2025-07-25 04:00:00,115320.01,HIGH_OSCILLATION,做空,0.6,0.5012986497924151,0.0,0.0,,-0.07812095258288103,True,
2025-07-25 20:00:00,117614.31,HIGH_OSCILLATION,做空,0.6,0.5447031610303944,-0.00037534773616757465,0.0,,1.5361598797552505,True,
2025-07-26 00:00:00,117489.62,HIGH_OSCILLATION,做空,0.6,0.5534693181527549,-0.008993325819173474,0.0,,1.2907102183181625,True,
2025-07-26 04:00:00,117304.47,HIGH_OSCILLATION,做空,0.6,0.5613625791384524,-0.0005157237836354478,0.0,,1.022263960076082,True,
2025-07-26 08:00:00,117776.11,HIGH_OSCILLATION,做空,0.6,0.5683656500520212,0.005596532042613678,0.0,,1.290641323120455,True,
2025-07-26 12:00:00,118130.1,HIGH_OSCILLATION,做空,0.6,0.5744625277478584,-0.0010150301151250892,0.0,,1.440980669876568,True,
2025-07-26 16:00:00,118232.11,HIGH_OSCILLATION,做空,0.6,0.5796385322634765,-0.0021420785957795177,0.0,,1.3809895787657007,True,
2025-07-26 20:00:00,117919.99,HIGH_OSCILLATION,做空,0.6,0.5838803371699958,-0.003503431425337145,0.0,,1.0062539648958768,True,
2025-07-27 00:00:00,118182.83,HIGH_OSCILLATION,做空,0.6,0.5871759978186358,0.004868860970158397,0.0,,1.112813116359176,True,
2025-07-27 04:00:00,118095.95,HIGH_OSCILLATION,做空,0.6,0.5895149774253139,-0.0029641011491016,0.0,,0.9386504492272697,True,
2025-07-27 08:00:00,118072.71,HIGH_OSCILLATION,做空,0.6,0.5908881709389432,0.0005383430313849566,0.0,,0.8305565466759696,True,
2025-07-27 12:00:00,118585.74,HIGH_OSCILLATION,做空,0.6,0.5912879266425843,0.004541823649346763,0.0,,1.1464579806049364,True,
2025-07-27 16:00:00,118960.0,HIGH_OSCILLATION,做空,0.6,0.5907080654403256,-0.0011890058033641902,0.0,,1.3242421300575276,True,
2025-07-27 20:00:00,119415.55,HIGH_OSCILLATION,做空,0.6,0.589143897786524,0.0006734097570201673,0.0,,1.5466628020217594,True,
2025-07-28 00:00:00,119287.99,HIGH_OSCILLATION,做空,0.6,0.5865922382179547,-0.004897641058417526,0.0,,1.29944003027335,True,
2025-07-28 04:00:00,118900.0,HIGH_OSCILLATION,做空,0.6,0.5830514174533362,-0.00218434613511893,0.0,0.8012307549644324,0.8767717142610312,True,
2025-07-28 08:00:00,118827.49,HIGH_OSCILLATION,做空,0.6,0.5785212920287833,0.0026427085249746815,0.0,0.8266536740881303,0.7370376010924046,True,
2025-07-28 12:00:00,118174.9,HIGH_OSCILLATION,做空,0.6,0.5730032514418485,-0.004882070802918184,0.0,1.693081979669278,0.16626500820609713,True,
2025-07-28 16:00:00,118068.73,HIGH_OSCILLATION,做空,0.6,0.5665002227809613,0.004593496874525902,0.0,1.2826277661963101,0.06900499621843713,True,
2025-07-28 20:00:00,118062.32,HIGH_OSCILLATION,做空,0.6,0.5590166728213695,0.0008441237182088896,0.0,0.7675091820771771,0.05751423044139448,True,
2025-07-29 00:00:00,118764.85,HIGH_OSCILLATION,做空,0.6,0.5505586075729176,0.006004791808245396,0.2275084570411643,1.3077590244199713,0.5903579329016702,True,
2025-07-29 04:00:00,118882.37,HIGH_OSCILLATION,做空,0.6,0.5411335692693774,-0.004960983032824021,0.2275084570411643,1.469888715590229,0.6237799050640791,True,
2025-07-29 08:00:00,118592.38,HIGH_OSCILLATION,做空,0.6,0.5307506307933887,-0.00342882033894551,0.2275084570411643,1.0952358980189842,0.3421735810174094,True,
2025-07-29 12:00:00,117400.01,HIGH_OSCILLATION,做空,0.6,0.519420387535464,-0.007615053961982305,0.2275084570411643,2.1397889159993024,-0.6035901383707232,True,
2025-07-29 20:00:00,117950.76,HIGH_OSCILLATION,做空,0.6,0.49396791399511875,0.0025531212141512035,0.2275084570411643,0.8612669876433118,-0.0813981435520629,True,
2025-07-30 00:00:00,118161.87,HIGH_OSCILLATION,做空,0.6,0.4798743779295445,-0.001830427412223641,-0.07072148806172561,0.6054275405247762,0.08814968047232437,True,
2025-07-30 04:00:00,118123.01,HIGH_OSCILLATION,做空,0.6,0.4648908913802078,-0.002118685560527577,-0.07072148806172561,0.6026882508835435,0.04997062947424283,True,
2025-07-30 08:00:00,117579.99,HIGH_OSCILLATION,做空,0.6,0.4490354508036365,-0.004268201258357604,-0.07072148806172561,1.0582654543962433,-0.37106677538064237,True,
2025-07-30 12:00:00,118000.01,HIGH_OSCILLATION,做空,0.6,0.43232747290462464,0.00816927861517079,-0.07072148806172561,1.6831254616909366,-0.013726935069034423,True,
2025-07-31 00:00:00,118466.14,HIGH_OSCILLATION,做空,0.6,0.3773032278900883,-0.0025884661947165417,0.09550343644956728,0.9483271275884086,0.43062228337161623,True,
