信号时间,信号类型,方向,首次开仓价,首次开仓盈亏%,最优开仓价,最优开仓周期,价格优势%,最优平仓价,最优平仓周期,最优平仓盈亏%,方向改变,方向改变周期,趋势反转,是好机会
2025-07-25 04:00:00,HIGH_OSCILLATION,short,115320.01,-1.0610214133696374,118232.11,9,2.5252339121371965,117919.99,1,0.2639891988732971,False,0,True,True
2025-07-25 08:00:00,HIGH_OSCILLATION,short,116543.58,0.7005962919621999,118232.11,8,1.4488399961628078,117919.99,1,0.2639891988732971,False,0,True,True
2025-07-25 12:00:00,HIGH_OSCILLATION,short,115727.08,-0.8308513443871599,118232.11,7,2.1646014053063456,117919.99,1,0.2639891988732971,False,0,True,True
2025-07-25 16:00:00,HIGH_OSCILLATION,short,116688.6,-0.7933165707704024,118232.11,6,1.322759892568764,117919.99,1,0.2639891988732971,False,0,True,True
2025-07-25 20:00:00,HIGH_OSCILLATION,short,117614.31,0.1060160111469449,117776.11,3,0.13756829419821695,117776.11,0,0.0,True,1,True,False
2025-07-26 00:00:00,HIGH_OSCILLATION,short,117489.62,0.15758838951048967,118960.0,10,1.251497791890045,118062.32,7,0.7546065904505658,False,0,True,True
2025-07-26 04:00:00,HIGH_OSCILLATION,short,117304.47,-0.40206481475087813,119415.55,10,1.799658614884839,118062.32,6,1.1332108758030222,False,0,True,True
2025-07-26 08:00:00,HIGH_OSCILLATION,short,117776.11,-0.3005618032383692,119415.55,9,1.3919970696943567,118062.32,6,1.1332108758030222,False,0,True,True
2025-07-26 12:00:00,HIGH_OSCILLATION,short,118130.1,-0.08635394366041742,118585.74,6,0.3857103312364921,118585.74,0,0.0,True,4,True,False
2025-07-26 16:00:00,HIGH_OSCILLATION,short,118232.11,0.2639891988732971,118232.11,0,0.0,117919.99,1,0.2639891988732971,True,1,True,True
2025-07-26 20:00:00,HIGH_OSCILLATION,short,117919.99,-0.22289689814254265,119415.55,6,1.2682836896441372,118062.32,6,1.1332108758030222,False,0,True,True
2025-07-27 00:00:00,HIGH_OSCILLATION,short,118182.83,0.07351321676761731,118585.74,3,0.34092092734621726,118585.74,0,0.0,True,1,True,False
2025-07-27 04:00:00,HIGH_OSCILLATION,short,118095.95,0.01967891362912165,119415.55,4,1.1173964898881001,118062.32,6,1.1332108758030222,False,0,True,True
2025-07-27 08:00:00,HIGH_OSCILLATION,short,118072.71,-0.4345034513055547,119415.55,3,1.1372992116467866,118062.32,6,1.1332108758030222,True,8,True,True
2025-07-27 12:00:00,HIGH_OSCILLATION,short,118585.74,-0.3156028709691357,119415.55,2,0.6997552994145819,118062.32,6,1.1332108758030222,True,6,True,True
2025-07-27 16:00:00,HIGH_OSCILLATION,short,118960.0,-0.3829438466711524,119415.55,1,0.3829438466711524,118062.32,6,1.1332108758030222,True,3,True,True
2025-07-27 20:00:00,HIGH_OSCILLATION,short,119415.55,0.1068202591706002,119415.55,0,0.0,118062.32,6,1.1332108758030222,True,1,True,True
2025-07-28 00:00:00,HIGH_OSCILLATION,short,119287.99,0.3252548726824932,119287.99,0,0.0,118062.32,5,1.027488182171565,True,1,True,True
2025-07-28 04:00:00,HIGH_OSCILLATION,short,118900.0,0.06098402018502503,118900.0,0,0.0,118062.32,4,0.7045248107653432,True,1,True,True
2025-07-28 08:00:00,HIGH_OSCILLATION,short,118827.49,0.5491911004768434,118827.49,0,0.0,118062.32,3,0.6439334871080743,True,1,True,True
2025-07-28 20:00:00,HIGH_OSCILLATION,short,118062.32,-0.5950501396211753,118882.37,2,0.6945907890002401,117400.01,2,1.246913230279646,True,4,True,True
2025-07-29 08:00:00,HIGH_OSCILLATION,short,118592.38,1.0054355937540083,118592.38,0,0.0,117400.01,1,1.0054355937540083,True,1,True,True
2025-07-29 20:00:00,HIGH_OSCILLATION,short,117950.76,-0.17898146650348043,118466.14,7,0.4369450438471144,115081.77,7,2.8568247433401606,True,5,True,True
2025-07-30 00:00:00,HIGH_OSCILLATION,short,118161.87,0.032887089549277264,118161.87,0,0.0,116916.73,4,1.053757866221988,True,1,True,True
2025-07-30 04:00:00,HIGH_OSCILLATION,short,118123.01,0.45970721538503767,118123.01,0,0.0,116916.73,3,1.0212066218089082,True,1,True,True
2025-07-30 08:00:00,HIGH_OSCILLATION,short,117579.99,-0.35722064613204124,118665.97,5,0.9236095359422941,115081.77,6,3.020410990615083,True,8,True,True
2025-07-30 20:00:00,HIGH_OSCILLATION,short,117840.3,-0.5310916554014175,118665.97,2,0.7006686167635336,115081.77,6,3.020410990615083,True,5,True,True
2025-07-31 00:00:00,HIGH_OSCILLATION,short,118466.14,-0.16868111006233658,118665.97,1,0.16868111006233658,115081.77,6,3.020410990615083,True,2,True,True
2025-07-31 04:00:00,HIGH_OSCILLATION,short,118665.97,0.24836100863625954,118665.97,0,0.0,115081.77,6,3.020410990615083,True,1,True,True
2025-07-31 08:00:00,HIGH_OSCILLATION,short,118371.25,0.05497111840924801,118371.25,0,0.0,115081.77,5,2.7789518147354157,True,1,True,True
2025-08-01 04:00:00,HIGH_OSCILLATION,short,115081.77,-0.1945399345178564,115357.82,2,0.239872918186784,113297.93,2,1.7856526761688232,True,3,True,True
2025-08-05 00:00:00,LOW_OSCILLATION,long,114256.85,-0.2513197239377847,112934.0,3,-1.1577861633678905,115413.87,6,2.195857757628345,False,0,True,True
2025-08-05 04:00:00,LOW_OSCILLATION,long,113969.7,0.7522788951800434,112934.0,2,-0.9087503081959478,115413.87,6,2.195857757628345,True,6,True,True
2025-08-05 08:00:00,LOW_OSCILLATION,long,114827.07,-1.6486269309144672,112934.0,1,-1.6486269309144672,115413.87,6,2.195857757628345,True,7,True,True
2025-08-05 12:00:00,LOW_OSCILLATION,long,112934.0,0.6043529849292543,112934.0,0,0.0,115413.87,6,2.195857757628345,True,1,True,True
2025-08-05 16:00:00,LOW_OSCILLATION,long,113616.52,0.45172128137703554,113509.97,2,-0.09378037630443434,115413.87,3,1.6772975977352425,True,3,True,True
2025-08-05 20:00:00,LOW_OSCILLATION,long,114129.75,-0.5430485916248821,113509.97,1,-0.5430485916248821,115413.87,3,1.6772975977352425,True,2,True,True
2025-08-06 00:00:00,LOW_OSCILLATION,long,113509.97,0.6324906966322009,113509.97,0,0.0,115413.87,3,1.6772975977352425,True,1,True,True
2025-08-06 04:00:00,LOW_OSCILLATION,long,114227.91,-0.0010680402013843763,114226.69,1,-0.0010680402013843763,115413.87,1,1.039319269428181,True,2,True,True
2025-08-06 08:00:00,LOW_OSCILLATION,long,114226.69,1.039319269428181,114226.69,0,0.0,115413.87,1,1.039319269428181,True,1,True,True
2025-08-06 12:00:00,LOW_OSCILLATION,long,115413.87,-0.13332886246686823,114546.03,3,-0.7519373538033137,117472.01,5,2.55441415123684,True,5,True,True
2025-08-06 16:00:00,LOW_OSCILLATION,long,115259.99,-0.2322748769976478,114546.03,2,-0.6194343761438869,117472.01,5,2.55441415123684,True,4,True,True
2025-08-06 20:00:00,LOW_OSCILLATION,long,114992.27,-0.3880608670478505,114546.03,1,-0.3880608670478505,117472.01,5,2.55441415123684,True,3,True,True
2025-08-07 00:00:00,LOW_OSCILLATION,long,114546.03,0.21123385943625145,114546.03,0,0.0,117472.01,5,2.55441415123684,True,1,True,True
2025-08-07 04:00:00,LOW_OSCILLATION,long,114787.99,1.5084679155023044,114787.99,0,0.0,117472.01,4,2.338241134808606,True,1,True,True
2025-08-07 08:00:00,LOW_OSCILLATION,long,116519.53,0.1461385915305347,116519.53,0,0.0,117472.01,3,0.8174423635248065,True,1,True,True
2025-08-07 12:00:00,LOW_OSCILLATION,long,116689.81,0.6617287319261196,116689.81,0,0.0,117472.01,2,0.6703241696939922,True,1,True,True
2025-08-07 16:00:00,LOW_OSCILLATION,long,117461.98,0.008538933193531079,116207.69,5,-1.0678263724142856,117110.0,5,0.7764632443859762,False,0,True,True
2025-08-07 20:00:00,LOW_OSCILLATION,long,117472.01,-0.6253915294375136,116207.69,4,-1.0762734033409256,117110.0,5,0.7764632443859762,False,0,True,True
2025-08-08 00:00:00,LOW_OSCILLATION,long,116737.35,0.0683928494179425,116207.69,3,-0.45371939657701965,117110.0,5,0.7764632443859762,True,1,True,True
2025-08-08 04:00:00,LOW_OSCILLATION,long,116817.19,0.06362077362072519,116207.69,2,-0.5217554026081264,117110.0,5,0.7764632443859762,True,7,True,True
2025-08-08 08:00:00,LOW_OSCILLATION,long,116891.51,-0.5850039921633252,116207.69,1,-0.5850039921633252,117110.0,5,0.7764632443859762,True,6,True,True
2025-08-08 12:00:00,LOW_OSCILLATION,long,116207.69,0.21144900135266534,116207.69,0,0.0,117110.0,5,0.7764632443859762,True,1,True,True
2025-08-08 16:00:00,LOW_OSCILLATION,long,116453.41,0.19005883983989968,116384.01,2,-0.059594648194508625,117110.0,2,0.6237884396662439,True,3,True,True
