信号索引,信号时间,信号类型,方向,信号前5周期平均张力,信号前5周期平均加速度,信号前5周期平均量能,信号时刻张力,信号时刻加速度,信号时刻量能,信号时刻价格,黄金开仓等待周期,黄金开仓时间,黄金开仓价格,黄金开仓张力,黄金开仓加速度,黄金开仓量能,价格优势%,黄金平仓持仓周期,黄金平仓时间,黄金平仓价格,黄金平仓张力,黄金平仓加速度,黄金平仓量能,最优盈亏%,DXY燃料_信号时刻,DXY燃料_开仓时刻,DXY燃料_平仓时刻
0,2025-08-10 12:00:00,BEARISH_SINGULARITY,short,0.7733394173530197,-0.0845191579779157,,0.7733394173530197,-0.0845191579779157,,118815.0,3,2025-08-11 00:00:00,121728.99,0.5290942215089675,-0.0631242869000843,,2.452543870723398,28,2025-08-15 16:00:00,116936.27,-1.376757060349172,0.1433642834520483,0.6575137533635413,3.9372050979803586,,,
1,2025-08-10 16:00:00,BEARISH_SINGULARITY,short,0.708409113349101,-0.0804465008533109,,0.708409113349101,-0.0804465008533109,,118663.08,2,2025-08-11 00:00:00,121728.99,0.5290942215089675,-0.0631242869000843,,2.5837101143843593,28,2025-08-15 16:00:00,116936.27,-1.376757060349172,0.1433642834520483,0.6575137533635413,3.9372050979803586,,,
2,2025-08-10 20:00:00,BEARISH_SINGULARITY,short,0.5927933355073683,-0.0676948429406483,,0.5927933355073683,-0.0676948429406483,,119294.01,1,2025-08-11 00:00:00,121728.99,0.5290942215089675,-0.0631242869000843,,2.0411586466076637,28,2025-08-15 16:00:00,116936.27,-1.376757060349172,0.1433642834520483,0.6575137533635413,3.9372050979803586,,,
3,2025-08-11 00:00:00,BEARISH_SINGULARITY,short,0.5290942215089675,-0.0631242869000843,,0.5290942215089675,-0.0631242869000843,,121728.99,0,2025-08-11 00:00:00,121728.99,0.5290942215089675,-0.0631242869000843,,0.0,28,2025-08-15 16:00:00,116936.27,-1.376757060349172,0.1433642834520483,0.6575137533635413,3.9372050979803586,,,
4,2025-08-11 04:00:00,BEARISH_SINGULARITY,short,0.5524573785528275,-0.0636068809081827,,0.5524573785528275,-0.0636068809081827,,121537.15,0,2025-08-11 04:00:00,121537.15,0.5524573785528275,-0.0636068809081827,,0.0,27,2025-08-15 16:00:00,116936.27,-1.376757060349172,0.1433642834520483,0.6575137533635413,3.785575027882413,,,
5,2025-08-11 08:00:00,BEARISH_SINGULARITY,short,0.6235357376184334,-0.0712198986502858,,0.5851209594393163,-0.0679277223215729,,120561.54,0,2025-08-11 08:00:00,120561.54,0.5851209594393163,-0.0679277223215729,,0.0,26,2025-08-15 16:00:00,116936.27,-1.376757060349172,0.1433642834520483,0.6575137533635413,3.006987137025613,,,
6,2025-08-11 12:00:00,BEARISH_SINGULARITY,short,0.5992740216637523,-0.06982990146432684,,0.627769121624933,-0.0761791748621619,,120314.4,0,2025-08-11 12:00:00,120314.4,0.627769121624933,-0.0761791748621619,,0.0,25,2025-08-15 16:00:00,116936.27,-1.376757060349172,0.1433642834520483,0.6575137533635413,2.807752023032979,,,
7,2025-08-11 16:00:00,BEARISH_SINGULARITY,short,0.5873005162611705,-0.06970673714094056,,0.6365680809336108,-0.0797075149129932,,119089.3,10,2025-08-13 08:00:00,120570.41,-0.3632686299070283,0.0457893006284492,,1.2436969568214782,30,2025-08-18 08:00:00,114947.27,-0.4127946555464085,0.0457824181480648,1.549593269609885,4.663781105165023,,,
8,2025-08-11 20:00:00,BEARISH_SINGULARITY,short,0.5874070753736191,-0.07104219090433993,,0.5934326901820595,-0.0757075655210445,,118686.0,10,2025-08-13 12:00:00,120920.62,-0.4004817356474436,0.0453089827335421,,1.8827999932595212,29,2025-08-18 08:00:00,114947.27,-0.4127946555464085,0.0457824181480648,1.549593269609885,4.939893626082956,,,
9,2025-08-12 00:00:00,BEARISH_SINGULARITY,short,0.5824592749935379,-0.07154043947444463,,0.4994074192284805,-0.0661137783207126,,118857.7,10,2025-08-13 16:00:00,122744.21,-0.4025865627958822,0.0400863613434891,1.2082802981338485,3.2698849127990948,28,2025-08-18 08:00:00,114947.27,-0.4127946555464085,0.0457824181480648,1.549593269609885,6.352185573559846,,,
10,2025-08-12 04:00:00,BEARISH_SINGULARITY,short,0.553275913269929,-0.0697604059188859,,0.3773572082111734,-0.0529266795748302,,118986.72,10,2025-08-13 20:00:00,123306.43,-0.3603211985640602,0.0300952590901555,1.1171152887352953,3.6304135453099233,27,2025-08-18 08:00:00,114947.27,-0.4127946555464085,0.0457824181480648,1.549593269609885,6.779176073786249,,,
11,2025-08-13 08:00:00,BULLISH_SINGULARITY,long,-0.22192474252409647,0.026547224040298568,,-0.3632686299070283,0.0457893006284492,,120570.41,8,2025-08-14 16:00:00,117945.92,-0.0643597002882606,-0.0304345763366905,0.9310625417100085,2.1767281043499853,4,2025-08-15 08:00:00,119006.01,-1.0091647840364837,0.0885537251670626,0.31932778120091415,0.8987932774613964,,,
12,2025-08-13 12:00:00,BULLISH_SINGULARITY,long,-0.2924018504708694,0.03556095239368152,,-0.4004817356474436,0.0453089827335421,,120920.62,7,2025-08-14 16:00:00,117945.92,-0.0643597002882606,-0.0304345763366905,0.9310625417100085,2.460043622005905,4,2025-08-15 08:00:00,119006.01,-1.0091647840364837,0.0885537251670626,0.31932778120091415,0.8987932774613964,,,
13,2025-08-15 04:00:00,BULLISH_SINGULARITY,long,-0.280860808556519,-0.003917973820911666,1.0897669810565394,-0.8050073129625414,0.0565937635539306,0.4845422413720835,118956.45,3,2025-08-15 16:00:00,116936.27,-1.376757060349172,0.1433642834520483,0.6575137533635413,1.6982517551591303,10,2025-08-17 08:00:00,118308.01,-1.06495481173857,0.1015919580896871,0.4251420318760478,1.173066320654824,,,
14,2025-08-15 08:00:00,BULLISH_SINGULARITY,long,-0.4445022446573083,0.014768635392077048,0.9771998170458533,-1.0091647840364837,0.0885537251670626,0.3193277812009141,119006.01,2,2025-08-15 16:00:00,116936.27,-1.376757060349172,0.1433642834520483,0.6575137533635413,1.7391894745483785,10,2025-08-17 08:00:00,118308.01,-1.06495481173857,0.1015919580896871,0.4251420318760478,1.173066320654824,,,
15,2025-08-15 16:00:00,BULLISH_SINGULARITY,long,-0.866030955717104,0.06891739760999295,0.6625670203482817,-1.376757060349172,0.1433642834520483,0.6575137533635413,116936.27,0,2025-08-15 16:00:00,116936.27,-1.376757060349172,0.1433642834520483,0.6575137533635413,0.0,10,2025-08-17 08:00:00,118308.01,-1.06495481173857,0.1015919580896871,0.4251420318760478,1.173066320654824,,,
