entry_idx,exit_idx,type,entry_price,exit_price,pnl_pct,hold_bars,entry_signal,exit_signal,entry_action,exit_action
0,5,LONG,112872.94,114276.66,1.2436284551461148,5,BEARISH_SINGULARITY,BEARISH_SINGULARITY,开多,平多
11,14,LONG,112193.71,113094.83,0.8031822817874507,3,BEARISH_SINGULARITY,BEARISH_SINGULARITY,开多,平多
15,17,LONG,112320.0,116935.99,4.109677706552711,2,BEARISH_SINGULARITY,BEARISH_SINGULARITY,开多,平多
21,23,LONG,114812.87,115438.05,0.5445208363835932,2,BEARISH_SINGULARITY,BEARISH_SINGULARITY,开多,平多
28,33,LONG,112600.0,112200.64,-0.35467140319715856,5,BEARISH_SINGULARITY,BEARISH_SINGULARITY,开多,平多
36,38,LONG,109879.56,111763.22,1.7142951791943866,2,BEARISH_SINGULARITY,OSCILLATION,开多,平多
39,40,SHORT,111418.15,110725.18,0.6219543225228575,1,BULLISH_SINGULARITY,BULLISH_SINGULARITY,开空,平空
41,43,SHORT,111322.07,112000.01,-0.6089897537837624,2,BULLISH_SINGULARITY,BEARISH_SINGULARITY,开空,平空
50,59,SHORT,108377.4,108389.76,-0.011404591732225152,9,BULLISH_SINGULARITY,BULLISH_SINGULARITY,开空,平空
60,62,SHORT,108818.69,108246.35,0.525957443523715,2,BULLISH_SINGULARITY,OSCILLATION,开空,平空
66,68,SHORT,110322.18,109733.34,0.5337457979891229,2,BULLISH_SINGULARITY,BULLISH_SINGULARITY,开空,平空
78,82,LONG,109510.31,112954.32,3.1449185012808467,4,BEARISH_SINGULARITY,BEARISH_SINGULARITY,开多,平多
90,93,LONG,110038.41,111329.99,1.1737537828836329,3,BEARISH_SINGULARITY,OSCILLATION,开多,平多
95,96,SHORT,111137.34,111052.11,0.07668889681901324,1,BULLISH_SINGULARITY,BULLISH_SINGULARITY,开空,平空
97,102,SHORT,111280.39,111708.0,-0.38426357060754424,5,BULLISH_SINGULARITY,BULLISH_SINGULARITY,开空,平空
103,105,SHORT,112991.11,110880.76,1.8677133094807243,2,BULLISH_SINGULARITY,BULLISH_SINGULARITY,开空,平空
106,113,SHORT,111301.53,115768.68,-4.013556686956589,7,BULLISH_SINGULARITY,BULLISH_SINGULARITY,开空,平空
114,117,SHORT,115797.12,117450.21,-1.427574364543791,3,BULLISH_SINGULARITY,LOW_OSCILLATION,开空,平空
118,123,SHORT,117073.53,115125.12,1.664261767796703,5,BULLISH_SINGULARITY,BULLISH_SINGULARITY,开空,平空
124,139,SHORT,115632.38,112122.9,3.0350322288618554,15,BULLISH_SINGULARITY,OSCILLATION,开空,平空
141,143,SHORT,112975.99,111655.29,1.169009450592123,2,BULLISH_SINGULARITY,BULLISH_SINGULARITY,开空,平空
144,150,SHORT,111998.8,111580.77,0.373245070482897,6,BULLISH_SINGULARITY,BEARISH_SINGULARITY,开空,平空
152,153,LONG,108994.49,109580.01,0.5372014677072111,1,BEARISH_SINGULARITY,BEARISH_SINGULARITY,开多,平多
169,171,LONG,113055.01,114359.99,1.1542876339580268,2,BEARISH_SINGULARITY,BEARISH_SINGULARITY,开多,平多
180,183,LONG,118489.76,120836.49,1.980534014078525,3,BEARISH_SINGULARITY,BEARISH_SINGULARITY,开多,平多
186,189,LONG,119640.21,122660.99,2.5248869088410983,3,BEARISH_SINGULARITY,BEARISH_SINGULARITY,开多,平多
205,212,SHORT,125410.81,121332.95,3.251601676123454,7,BULLISH_SINGULARITY,BULLISH_SINGULARITY,开空,平空
213,223,SHORT,121374.75,120951.72,0.34853212879944045,10,BULLISH_SINGULARITY,BULLISH_SINGULARITY,开空,平空
224,232,SHORT,121662.4,110384.61,9.269741514222959,8,BULLISH_SINGULARITY,BULLISH_SINGULARITY,开空,平空
233,236,SHORT,112280.0,110644.4,1.4567153544709706,3,BULLISH_SINGULARITY,BULLISH_SINGULARITY,开空,平空
237,247,SHORT,110676.0,111313.98,-0.5764393364415012,10,BULLISH_SINGULARITY,BEARISH_SINGULARITY,开空,平空
262,264,LONG,105633.75,106803.53,1.107392287029476,2,BEARISH_SINGULARITY,BEARISH_SINGULARITY,开多,平多
266,269,LONG,106431.68,107208.6,0.7299706252875204,3,BEARISH_SINGULARITY,BEARISH_SINGULARITY,开多,平多
274,280,LONG,106786.0,111169.92,4.105332159646394,6,BEARISH_SINGULARITY,BEARISH_SINGULARITY,开多,平多
