时间,开盘价,最高价,最低价,收盘价,信号类型,量能比率,价格vsEMA%,张力,加速度,波峰波谷,持仓状态,最优动作,黄金信号
2025-08-19 20:00:00,113132.49,113589.48,112732.58,112872.94,BEARISH_SINGULARITY,1.211057214393044,-2.443886686,0.776455353,-0.24964201,,NONE,观望,开多
2025-08-20 00:00:00,112872.95,113636.13,112566.01,113525.91,BEARISH_SINGULARITY,1.3651891070313045,-1.703571631,0.5888154581342092,-0.185379137,,NONE,观望,开仓多
2025-08-20 04:00:00,113525.9,113837.93,113432.0,113490.13,BEARISH_SINGULARITY,0.5920290954909955,-1.571953139,0.4618125735896692,-0.132965752,,NONE,观望,继续持多
2025-08-20 08:00:00,113490.14,114016.77,113060.08,113666.68,BEARISH_SINGULARITY,0.984803652,-1.285444249,0.410808012,-0.107443675,,NONE,观望,继续持多
2025-08-20 12:00:00,113666.69,114326.35,112380.0,113353.94,BEARISH_SINGULARITY,1.796474068828177,-1.410847421,0.4610508304582983,-0.123174889,,NONE,观望,继续持多
2025-08-20 16:00:00,113353.94,114444.0,113264.01,114276.66,BEARISH_SINGULARITY,0.992283571,-0.550699516,0.507319939,-0.145980311,,NONE,观望,继续持多
2025-08-20 20:00:00,114276.66,114615.38,114000.0,114271.24,BEARISH_SINGULARITY,0.5871923921938002,-0.502785443,0.6087008170529308,-0.188962472,,NONE,观望,平仓/反手空
2025-08-21 00:00:00,114271.23,114821.76,113906.01,113954.62,BEARISH_SINGULARITY,0.604902571,-0.704852513,0.7375359013352162,-0.240481606,,NONE,观望,继续持空
2025-08-21 04:00:00,113954.62,114033.84,113582.43,113896.03,BEARISH_SINGULARITY,0.5896713034729272,-0.684407044,0.833616106,-0.279155746,,NONE,观望,空平/反多
2025-08-21 08:00:00,113896.03,113990.0,113000.0,113148.66,BEARISH_SINGULARITY,0.599126429,-1.210394602,0.9081441169611252,-0.304239846,,NONE,观望,继续持多
2025-08-21 12:00:00,113148.65,113995.11,112608.64,112792.08,BEARISH_SINGULARITY,1.018985291684699,-1.378795284,0.9120268408725936,-0.301923889,,NONE,观望,继续持多
2025-08-21 16:00:00,112792.08,112969.47,112015.67,112193.71,BEARISH_SINGULARITY,1.004445054882292,-1.723968917,0.8620255740514035,-0.276584284,波谷,LONG,开多,继续持多
2025-08-21 20:00:00,112193.71,112870.94,112067.46,112500.0,BEARISH_SINGULARITY,0.463726493,-1.318867095,0.7364675051680669,-0.225722071,,LONG,继续持多 (盈亏+0.27%),空平仓/ 开仓多
2025-08-22 00:00:00,112500.0,113525.0,112335.6,112929.24,BEARISH_SINGULARITY,0.6799056727198388,-0.853370545,0.5865217625946999,-0.163794531,,LONG,继续持多 (盈亏+0.66%),继续持多
2025-08-22 04:00:00,112929.24,113394.76,112708.81,113094.83,BEARISH_SINGULARITY,0.692879247,-0.640994781,0.4762606350537448,-0.109605024,,LONG,继续持多 (盈亏+0.80%),多平/反空
2025-08-22 08:00:00,113094.83,113319.3,112177.27,112320.0,BEARISH_SINGULARITY,0.8162433694198452,-1.197347783,0.4755127301481178,-0.084750895,,LONG,继续持多 (盈亏+0.11%),继续持空
2025-08-22 16:00:00,116370.75,117429.05,116116.0,116655.79,BEARISH_SINGULARITY,1.4555707085402383,2.153816431827924,0.3753939233172562,-0.029390683,,LONG,继续持多 (盈亏+3.98%),继续持空
2025-08-22 20:00:00,116655.79,117174.43,116550.96,116935.99,BEARISH_SINGULARITY,0.7555224549369257,2.165741330382413,0.5752278625736287,-0.068340234,波峰★,SHORT,平多/反空 (盈利4.23%),继续持空
2025-08-23 00:00:00,116936.0,117030.0,115458.2,115568.77,BEARISH_SINGULARITY,0.9649104102932008,0.8779068720239656,0.9268175501566248,-0.14684561,,SHORT,继续持空 (盈亏+1.17%),多空仓/反手空
2025-08-23 04:00:00,115568.77,116034.53,115551.2,115799.47,BEARISH_SINGULARITY,0.8285408455879127,0.9754894283090476,1.2125810926356646,-0.217149298,,SHORT,继续持空 (盈亏+0.97%),继续持空
2025-08-23 08:00:00,115799.46,115861.8,115223.43,115310.13,BEARISH_SINGULARITY,0.4985644792101938,0.4962666393018118,1.4427621705787668,-0.275433675,,SHORT,继续持空 (盈亏+1.39%),继续持空
2025-08-23 12:00:00,115310.13,115486.97,114560.0,114812.87,BEARISH_SINGULARITY,1.1137451002913437,0.056896622,1.5877212929742175,-0.313017459,,SHORT,继续持空 (盈亏+1.82%),继续持空
2025-08-23 16:00:00,114812.88,115190.74,114684.11,115133.91,BEARISH_SINGULARITY,0.4162443582562181,0.3045139210257884,1.6046830697486965,-0.320504798,,SHORT,继续持空 (盈亏+1.54%),继续持空
2025-08-23 20:00:00,115133.92,115454.12,115001.88,115438.05,BEARISH_SINGULARITY,0.3946493228285967,0.5149647806521009,1.5274223807982203,-0.303531215,,SHORT,继续持空 (盈亏+1.28%),继续持空
2025-08-24 00:00:00,115438.06,115666.68,114934.21,115036.0,BEARISH_SINGULARITY,0.8169413274942211,0.1491620488708169,1.4171949325607345,-0.273951723,,SHORT,继续持空 (盈亏+1.62%),继续持空
2025-08-24 04:00:00,115036.01,115283.21,114846.14,114888.19,BEARISH_SINGULARITY,0.7001554125542437,0.018529324,1.280175098027036,-0.235591205,,SHORT,继续持空 (盈亏+1.75%),继续持空
2025-08-24 08:00:00,114888.19,115060.99,114600.0,114730.22,BEARISH_SINGULARITY,0.8964646670920398,-0.107674396,1.139269864959213,-0.19501333,,SHORT,继续持空 (盈亏+1.89%),继续持空
2025-08-24 12:00:00,114730.22,114869.41,114350.57,114400.0,BEARISH_SINGULARITY,1.051035614462017,-0.357685233,1.0192522022452877,-0.158851272,,SHORT,继续持空 (盈亏+2.17%),继续持空
2025-08-24 16:00:00,114400.01,114917.1,110680.0,112600.0,BEARISH_SINGULARITY,2.8962509888814183,-1.745305004,0.9794101648156004,-0.138467135,,SHORT,继续持空 (盈亏+3.71%),黄金/空平反多
