时间,收盘价,最高价,最低价,信号类型,信号模式,加速度,张力,下影线,量能比率,高低点,是黑天鹅,策略状态,持仓类型,入场价,当前盈亏%,信号动作
2025-08-20 04:00:00,113490.13,113837.93,113432.0,BEARISH_SINGULARITY,LONG_MODE,-0.132965752,0.4618125735896692,0.0005122031316732535,0.5920290954909955,,,持仓,LONG黑天鹅,113490.13,0.0,开多(黑天鹅 250%仓位)
2025-08-20 08:00:00,113666.68,114016.77,113060.08,BEARISH_SINGULARITY,LONG_MODE,-0.107443675,0.410808012,0.00533665626549479,0.984803652,,,持仓,LONG黑天鹅,113490.13,0.16,
2025-08-20 12:00:00,113353.94,114326.35,112380.0,BEARISH_SINGULARITY,LONG_MODE,-0.123174889,0.4610508304582983,0.008592026002801512,1.796474068828177,低点,,持仓,LONG黑天鹅,113490.13,-0.12,
2025-08-20 16:00:00,114276.66,114444.0,113264.01,BEARISH_SINGULARITY,LONG_MODE,-0.145980311,0.507319939,0.008861389543586666,0.992283571,高点,,空仓,,0.0,0.0,平仓(高点)
2025-08-28 08:00:00,112909.18,113351.51,112826.22,BEARISH_SINGULARITY,LONG_MODE,-0.107878538,0.6100033265702685,0.0007347498228221288,0.4750126080402641,,,持仓,LONG正常,112909.18,0.0,开多(正常 150%仓位)
2025-08-28 12:00:00,112678.53,113485.9,112391.56,BEARISH_SINGULARITY,LONG_MODE,-0.131311209,0.6199666327898934,0.002546802838127203,1.0509701468803228,,,持仓,LONG正常,112909.18,-0.2,
2025-08-28 16:00:00,111901.36,113186.56,111901.35,BEARISH_SINGULARITY,LONG_MODE,-0.14521652,0.5885869345919705,8.936441875917603e-08,0.6411084836338397,,,持仓,LONG正常,112909.18,-0.89,
2025-08-28 20:00:00,112566.9,112575.98,111872.06,BEARISH_SINGULARITY,LONG_MODE,-0.150363827,0.5175099800723081,0.006172684865622101,0.4135199790094058,,,持仓,LONG正常,112909.18,-0.3,
2025-08-29 16:00:00,108212.01,108832.0,107934.24,OSCILLATION,NO_TRADE,-0.004285346,-0.375919005,0.0025669054664079296,0.9544664611055004,低点,,空仓,,0.0,0.0,平仓(止损-4.16%)
2025-09-03 20:00:00,111705.71,112250.0,111613.98,BEARISH_SINGULARITY,LONG_MODE,-0.028086657,0.4916138912599515,0.000821175569270456,0.3881492455163882,,,持仓,LONG正常,111705.71,0.0,开多(正常 150%仓位)
2025-09-04 00:00:00,111148.97,112180.0,111136.0,BEARISH_SINGULARITY,LONG_MODE,-0.031218798,0.6135450319471839,0.00011669024013448945,0.6046358005979585,,,持仓,LONG正常,111705.71,-0.5,
2025-09-04 04:00:00,110463.36,111318.84,110279.68,BEARISH_SINGULARITY,LONG_MODE,-0.040579118,0.7725714818745884,0.0016628138054102968,0.9153657794991216,,,持仓,LONG正常,111705.71,-1.11,
2025-09-04 08:00:00,110810.0,111154.93,110415.72,BEARISH_SINGULARITY,LONG_MODE,-0.057164286,0.9156161548144712,0.0035581626207020923,0.5195106195374984,,,持仓,LONG正常,111705.71,-0.8,
2025-09-04 12:00:00,109510.31,111123.99,109329.12,BEARISH_SINGULARITY,LONG_MODE,-0.068477121,0.9709678580906872,0.001654547412019949,1.2658511858862884,低点,,空仓,,0.0,0.0,平仓(止损-1.97%)
2025-09-06 12:00:00,110384.15,110999.83,110358.11,BEARISH_SINGULARITY,LONG_MODE,-0.076453902,0.7987782100722204,0.00023590343359978402,0.3959197004013461,,,持仓,LONG正常,110384.15,0.0,开多(正常 150%仓位)
2025-09-06 16:00:00,110038.41,110402.0,109977.0,BEARISH_SINGULARITY,LONG_MODE,-0.09046517,0.7653844551175243,0.0005580778566320932,0.6235897639813041,低点,,持仓,LONG正常,110384.15,-0.31,
2025-09-06 20:00:00,110187.97,110282.82,110034.44,BEARISH_SINGULARITY,LONG_MODE,-0.095325326,0.6608895870753241,0.0013933462972409677,0.293819385,,,持仓,LONG正常,110384.15,-0.18,
2025-09-07 00:00:00,110629.15,110733.12,110180.0,BEARISH_SINGULARITY,LONG_MODE,-0.088454518,0.4664956719057319,0.004059960688480335,0.4663016649251086,,,持仓,LONG正常,110384.15,0.22,
2025-09-07 12:00:00,111329.99,111412.0,111042.6,OSCILLATION,NO_TRADE,-0.012424641,-0.288604153,0.0025814248254221474,0.4307621167242868,高点,,空仓,,0.0,0.0,平仓(高点)
2025-09-19 00:00:00,116977.58,117459.99,116871.61,BULLISH_SINGULARITY,SHORT_MODE,0.058001318,-1.029625249,0.0009059000878630005,0.6380706630574847,,,空仓,,0.0,0.0,平仓(转SHORT)
2025-09-25 20:00:00,108994.49,109685.72,108765.0,BEARISH_SINGULARITY,LONG_MODE,-0.05855174,0.5396007818039177,0.002105519279002133,0.8406212402499301,低点,,持仓,LONG正常,108994.49,0.0,开多(正常 150%仓位)
2025-09-26 00:00:00,109580.01,109798.84,108809.24,BEARISH_SINGULARITY,LONG_MODE,-0.062429701,0.5048503110150431,0.007033855901272409,0.9379071356260548,高点,,空仓,,0.0,0.0,平仓(高点)
2025-09-29 16:00:00,114265.55,114390.93,113449.74,BEARISH_SINGULARITY,LONG_MODE,-0.046740474,0.5455670499158408,0.007139597192679663,1.6330018236225865,,,持仓,LONG正常,114265.55,0.0,开多(正常 150%仓位)
2025-09-29 20:00:00,114311.96,114400.0,114020.0,BEARISH_SINGULARITY,LONG_MODE,-0.053243038,0.6448678605747943,0.0025540634593266215,0.954491533,,,持仓,LONG正常,114265.55,0.04,
2025-09-30 00:00:00,114376.39,114792.0,114040.35,BEARISH_SINGULARITY,LONG_MODE,-0.065330666,0.7896974645012426,0.0029380189390484663,1.5622726100430362,高点,,空仓,,0.0,0.0,平仓(高点)
2025-10-14 16:00:00,112613.7,113544.53,111692.31,BEARISH_SINGULARITY,LONG_MODE,-0.049494507,0.3517483674698205,0.00818186419591932,1.5604890114646752,,,持仓,LONG正常,112613.7,0.0,开多(正常 150%仓位)
2025-10-15 04:00:00,112584.5,112680.0,111746.76,OSCILLATION,NO_TRADE,-0.01681338,0.2311975600001379,0.007440988768436199,0.7351081662723918,,,空仓,,0.0,0.0,平仓(OSCILLATION)
2025-10-16 08:00:00,111404.72,111728.7,109635.15,BEARISH_SINGULARITY,LONG_MODE,-0.048708736,0.6636048957447869,0.01588415643430554,1.2519072423131905,高点,,空仓,,0.0,0.0,平仓(高点)
2025-10-27 20:00:00,114107.65,114942.64,113830.01,BEARISH_SINGULARITY,LONG_MODE,-0.090884901,0.6714283784795345,0.0024331409857270693,1.003641973378769,,,持仓,LONG正常,114107.65,0.0,开多(正常 150%仓位)
2025-10-28 00:00:00,113908.24,114547.2,113569.91,BEARISH_SINGULARITY,LONG_MODE,-0.101325102,0.669404739,0.0029701977662020037,0.9648749571734409,低点,,持仓,LONG正常,114107.65,-0.17,
2025-10-28 04:00:00,114188.37,114364.99,113483.3,BEARISH_SINGULARITY,LONG_MODE,-0.106115815,0.5816143088874332,0.00617462181131049,0.9589838377304196,,,持仓,LONG正常,114107.65,0.07,
2025-10-28 08:00:00,114357.73,114673.68,114113.3,BEARISH_SINGULARITY,LONG_MODE,-0.097092879,0.4149662677437958,0.002137415634255708,0.5366878896049646,高点,,空仓,,0.0,0.0,平仓(高点)
2025-11-07 12:00:00,100797.95,101253.99,99260.86,BEARISH_SINGULARITY,LONG_MODE,-0.042166756,0.4458438251622449,0.015249218858121584,1.4355931402027775,,,持仓,LONG正常,100797.95,0.0,开多(正常 150%仓位)
2025-11-07 16:00:00,103395.25,103395.25,100517.06,BEARISH_SINGULARITY,LONG_MODE,-0.040603863,0.4455518677571425,0.027836771998713695,1.1227131983826366,高点,,空仓,,0.0,0.0,平仓(高点)
2025-11-16 12:00:00,94573.46,95900.0,94368.24,LOW_OSCILLATION,LONG_MODE,-0.001069484,-0.56834558,0.0021699533886145347,0.5144444084564758,,,持仓,LONG正常,94573.46,0.0,开多(正常 150%仓位)
2025-11-16 16:00:00,94020.0,95567.79,93770.48,LOW_OSCILLATION,LONG_MODE,-0.003277003,-0.556632024,0.0026539034248032767,1.724554899295272,低点,,持仓,LONG正常,94573.46,-0.59,
2025-11-16 20:00:00,94261.44,94739.74,93005.55,LOW_OSCILLATION,LONG_MODE,-0.001595056,-0.566417149,0.013323475643911226,1.2430054621729203,,,持仓,LONG正常,94573.46,-0.33,
2025-11-17 00:00:00,95496.77,95559.99,93767.27,LOW_OSCILLATION,LONG_MODE,0.006935127,-0.612408414,0.018110560179155796,0.8559347347418327,,,持仓,LONG正常,94573.46,0.98,
2025-11-17 04:00:00,95653.77,95880.0,94849.37,BULLISH_SINGULARITY,SHORT_MODE,0.021536086,-0.716510174,0.008409496039727538,0.8147971061565912,高点,,空仓,,0.0,0.0,平仓(高点)
2025-11-21 00:00:00,85821.34,87498.94,85360.0,BEARISH_SINGULARITY,LONG_MODE,-0.072897309,0.5904948086517197,0.005375586072182007,1.017687340359965,,,持仓,LONG正常,85821.34,0.0,开多(正常 150%仓位)
2025-11-21 04:00:00,84049.39,86459.53,82000.0,BEARISH_SINGULARITY,LONG_MODE,-0.069218901,0.5121265265146925,0.02438316328054254,2.1444033134280263,,,空仓,,0.0,0.0,平仓(止损-2.06%)
2025-11-23 08:00:00,86331.28,86465.24,85768.22,BEARISH_SINGULARITY,LONG_MODE,-0.073191063,0.576586713,0.0065220856218047235,0.3180593185749097,,,持仓,LONG正常,86331.28,0.0,开多(正常 150%仓位)
2025-11-23 12:00:00,87087.44,87244.51,86271.1,BEARISH_SINGULARITY,LONG_MODE,-0.086448439,0.6600891322133048,0.009373797185908743,0.5302296527157068,,,持仓,LONG正常,86331.28,0.88,
2025-11-23 16:00:00,87325.01,87689.47,86502.47,BEARISH_SINGULARITY,LONG_MODE,-0.09382606,0.7320203804639963,0.009419294655677608,0.5647737687815152,,,持仓,LONG正常,86331.28,1.15,
2025-11-23 20:00:00,86830.0,88127.64,86701.54,BEARISH_SINGULARITY,LONG_MODE,-0.097829396,0.7980913137163602,0.0014794425889670206,0.5505684973105135,低点,,持仓,LONG正常,86331.28,0.58,
2025-11-24 00:00:00,87460.02,88059.44,85946.65,BEARISH_SINGULARITY,LONG_MODE,-0.100751234,0.8820962859358058,0.01730356338816307,0.7473740379865549,高点,,空仓,,0.0,0.0,平仓(高点)
2025-11-28 00:00:00,91208.85,91417.99,90652.55,BEARISH_SINGULARITY,LONG_MODE,-0.060028016,0.4555136257136957,0.0060991888396795145,0.6131912659024863,,,持仓,LONG正常,91208.85,0.0,开多(正常 150%仓位)
2025-11-28 04:00:00,90910.87,91707.79,90867.43,BEARISH_SINGULARITY,LONG_MODE,-0.067998928,0.4477209082067344,0.00047783064885422756,0.6056603605363127,,,持仓,LONG正常,91208.85,-0.33,
2025-11-28 08:00:00,91437.64,92030.0,90907.98,BEARISH_SINGULARITY,LONG_MODE,-0.066281176,0.4139690586377567,0.005792581698302838,1.015301975,高点,,空仓,,0.0,0.0,平仓(高点)
2025-12-09 20:00:00,92678.8,93857.47,92254.92,OSCILLATION,NO_TRADE,0.003346909,0.050450729,0.004573645752858309,1.2290258248746322,,,空仓,,0.0,0.0,平仓(OSCILLATION)
2025-12-10 20:00:00,92015.37,94476.0,91878.0,BEARISH_SINGULARITY,LONG_MODE,-0.055814093,0.5463656878461767,0.0014929027617885506,1.6124752717386008,,,持仓,LONG正常,92015.37,0.0,开多(正常 150%仓位)
2025-12-11 00:00:00,89880.01,92080.32,89389.63,BEARISH_SINGULARITY,LONG_MODE,-0.059900957,0.6062121209700214,0.0054559406479815714,1.2926961408130386,低点,,空仓,,0.0,0.0,平仓(止损-2.32%)
2025-12-17 20:00:00,86243.22,86431.14,85644.09,BEARISH_SINGULARITY,LONG_MODE,-0.128460528,0.8385789210754072,0.00694698087571411,0.5457479749113118,,,持仓,LONG正常,86243.22,0.0,开多(正常 150%仓位)
2025-12-18 00:00:00,86618.34,86863.75,85863.93,BEARISH_SINGULARITY,LONG_MODE,-0.151267991,0.7974423592100456,0.008709587369141495,0.5504415373062349,,,持仓,LONG正常,86243.22,0.43,
2025-12-18 04:00:00,86833.84,86901.4,86384.61,BEARISH_SINGULARITY,LONG_MODE,-0.157783727,0.6540125732710189,0.005173443901594079,0.5058042305226685,,,持仓,LONG正常,86243.22,0.68,
2025-12-18 08:00:00,87300.74,87453.63,86685.14,BEARISH_SINGULARITY,LONG_MODE,-0.149387195,0.469064995,0.007051486619701113,0.6260627651327233,,,持仓,LONG正常,86243.22,1.23,
2025-12-19 04:00:00,87953.4,88449.06,86647.51,BULLISH_SINGULARITY,SHORT_MODE,0.020460714,-0.530182774,0.01484752152844574,1.050212322760691,,,空仓,,0.0,0.0,平仓(转SHORT)
2025-12-22 08:00:00,89945.43,90118.0,89093.44,BEARISH_SINGULARITY,LONG_MODE,-0.082539624,1.207130882736708,0.009472298926137667,1.428029198200341,高点,,空仓,,0.0,0.0,平仓(高点)
2025-12-24 20:00:00,87669.45,88049.89,87516.77,BEARISH_SINGULARITY,LONG_MODE,-0.067203701,0.5604090283476268,0.0017415416658823914,0.4813247323902653,,,持仓,LONG正常,87669.45,0.0,开多(正常 150%仓位)
2025-12-25 00:00:00,87840.42,87967.5,87508.52,BEARISH_SINGULARITY,LONG_MODE,-0.077906294,0.4037910815471308,0.0037784427715622736,0.3332941162998473,,,持仓,LONG正常,87669.45,0.2,
2025-12-25 16:00:00,88151.18,88478.0,87993.21,OSCILLATION,NO_TRADE,-0.005816711,-0.440164825,0.001792035001686723,0.5682270778738804,,,空仓,,0.0,0.0,平仓(OSCILLATION)
2025-12-28 00:00:00,87740.01,87961.37,87705.97,BULLISH_SINGULARITY,SHORT_MODE,0.063990445,-0.919430954,0.0003879643961744887,0.4261830718136315,,,空仓,,0.0,0.0,平仓(转SHORT)
2026-01-01 04:00:00,87631.88,87854.81,87550.43,BEARISH_SINGULARITY,LONG_MODE,-0.142145735,0.8672797031160548,0.000929456266372599,0.4767665779850533,低点,,持仓,LONG正常,87631.88,0.0,开多(正常 150%仓位)
2026-01-01 08:00:00,88024.64,88024.64,87631.87,BEARISH_SINGULARITY,LONG_MODE,-0.129272007,0.6524537242720652,0.004462046081642641,0.3852329655894642,,,持仓,LONG正常,87631.88,0.45,
2026-01-01 12:00:00,88032.18,88113.45,87810.66,BEARISH_SINGULARITY,LONG_MODE,-0.089064321,0.3839331094775007,0.0025163525428995343,0.5021243142723213,,,持仓,LONG正常,87631.88,0.46,
2026-01-02 20:00:00,89995.13,90400.0,89636.77,HIGH_OSCILLATION,SHORT_MODE,0.0063773,0.6616923740044728,0.003981993247856862,0.7756418071828831,,,空仓,,0.0,0.0,平仓(转SHORT)
2026-01-03 08:00:00,89752.74,89982.11,89420.75,BEARISH_SINGULARITY,LONG_MODE,-0.160841174,1.4599216742982697,0.0036989399989349097,0.6810680815521245,,,持仓,LONG正常,89752.74,0.0,开多(正常 150%仓位)
2026-01-03 12:00:00,89969.31,90249.99,89664.93,BEARISH_SINGULARITY,LONG_MODE,-0.196417551,1.6252875611980953,0.003383153655396542,0.5815553842648471,,,持仓,LONG正常,89752.74,0.24,
2026-01-03 16:00:00,90123.77,90219.67,89918.59,BEARISH_SINGULARITY,LONG_MODE,-0.216373962,1.6660351585297313,0.002276646882393042,0.2775207122667595,,,持仓,LONG正常,89752.74,0.41,
2026-01-03 20:00:00,90628.01,90741.16,90017.23,BEARISH_SINGULARITY,LONG_MODE,-0.219520906,1.576824132733343,0.006739417537690598,0.749760748,,,持仓,LONG正常,89752.74,0.98,
2026-01-04 00:00:00,91236.78,91610.17,90628.0,BEARISH_SINGULARITY,LONG_MODE,-0.200392652,1.340233324447709,0.0066725283378041055,1.552409677,,★黑天鹅,持仓,LONG正常,89752.74,1.65,
2026-01-04 04:00:00,91532.0,91810.0,91183.15,BEARISH_SINGULARITY,LONG_MODE,-0.162103516,0.9682259743672186,0.0038112354149369165,1.0392826901340613,高点,★黑天鹅,空仓,,0.0,0.0,平仓(高点)
2026-01-05 16:00:00,94303.4,94500.0,93250.0,BEARISH_SINGULARITY,LONG_MODE,-0.054957752,0.4866383450832925,0.01117032895950723,1.7815825781425056,高点,,空仓,,0.0,0.0,平仓(高点)
2026-01-14 20:00:00,96951.78,97924.49,96772.02,BEARISH_SINGULARITY,LONG_MODE,-0.082751853,0.7450181711811715,0.0018541175829881078,0.9671023609267332,,,持仓,LONG正常,96951.78,0.0,开多(正常 150%仓位)
2026-01-15 00:00:00,95985.1,97000.0,95777.0,BEARISH_SINGULARITY,LONG_MODE,-0.105401715,0.8200698986212055,0.0021680448319583543,0.8479914535547804,低点,,持仓,LONG正常,96951.78,-1.0,
2026-01-15 04:00:00,96630.48,96760.15,95952.89,BEARISH_SINGULARITY,LONG_MODE,-0.116680563,0.9104870974497252,0.0070121766962142435,0.6143737537024371,,,持仓,LONG正常,96951.78,-0.33,
2026-01-15 08:00:00,96581.08,97193.34,96289.98,BEARISH_SINGULARITY,LONG_MODE,-0.114492977,0.9138120014584512,0.0030140478859835263,0.8471565866057532,,,持仓,LONG正常,96951.78,-0.38,
2026-01-15 12:00:00,96737.04,97165.03,95435.91,BEARISH_SINGULARITY,LONG_MODE,-0.102993982,0.8908682477024427,0.013450173790721633,1.3953955986503066,高点,,空仓,,0.0,0.0,平仓(高点)
