时间,收盘价,最高价,最低价,信号类型,信号模式,加速度,张力,下影线,量能比率,高低点,是黑天鹅,策略状态,持仓类型,入场价,当前盈亏%,信号动作
2025-08-19 20:00:00,112872.94,113589.48,112732.58,BEARISH_SINGULARITY,LONG_MODE,-0.24964201,0.776455353,0.0012435221409134,1.211057214393044,,★黑天鹅,空仓,,113490.13,-0.54,
2025-08-20 00:00:00,113525.91,113636.13,112566.01,BEARISH_SINGULARITY,LONG_MODE,-0.185379137,0.5888154581342092,0.0084553385214001,1.3651891070313045,,,空仓,,113490.13,0.03,
2025-08-20 04:00:00,113490.13,113837.93,113432.0,BEARISH_SINGULARITY,LONG_MODE,-0.132965752,0.4618125735896692,0.0005122031316732,0.5920290954909955,,,持仓,LONG黑天鹅,113490.13,0.0,开多(黑天鹅 250%仓位)
2025-08-20 08:00:00,113666.68,114016.77,113060.08,BEARISH_SINGULARITY,LONG_MODE,-0.107443675,0.410808012,0.0053366562654947,0.984803652,,,持仓,LONG黑天鹅,113490.13,0.16,
2025-08-20 12:00:00,113353.94,114326.35,112380.0,BEARISH_SINGULARITY,LONG_MODE,-0.123174889,0.4610508304582983,0.0085920260028015,1.796474068828177,低点,,持仓,LONG黑天鹅,113490.13,-0.12,
2025-08-20 16:00:00,114276.66,114444.0,113264.01,BEARISH_SINGULARITY,LONG_MODE,-0.145980311,0.507319939,0.0088613895435866,0.992283571,高点,,空仓,,0.0,0.0,平仓(高点)
2025-08-20 20:00:00,114271.24,114615.38,114000.0,BEARISH_SINGULARITY,LONG_MODE,-0.188962472,0.6087008170529308,0.0023736506228514,0.5871923921938002,,,空仓,,0.0,0.0,
2025-08-21 00:00:00,113954.62,114821.76,113906.01,BEARISH_SINGULARITY,LONG_MODE,-0.240481606,0.7375359013352162,0.0004265733148862,0.604902571,,,空仓,,0.0,0.0,
2025-08-21 04:00:00,113896.03,114033.84,113582.43,BEARISH_SINGULARITY,LONG_MODE,-0.279155746,0.833616106,0.0027533883314458,0.5896713034729272,,,空仓,,0.0,0.0,
2025-08-21 08:00:00,113148.66,113990.0,113000.0,BEARISH_SINGULARITY,LONG_MODE,-0.304239846,0.9081441169611252,0.0013138467570009,0.599126429,,,空仓,,0.0,0.0,
2025-08-21 12:00:00,112792.08,113995.11,112608.64,BEARISH_SINGULARITY,LONG_MODE,-0.301923889,0.9120268408725936,0.0016263553256576,1.018985291684699,,★黑天鹅,空仓,,0.0,0.0,
2025-08-21 16:00:00,112193.71,112969.47,112015.67,BEARISH_SINGULARITY,LONG_MODE,-0.276584284,0.8620255740514035,0.0015868982316389,1.004445054882292,低点,★黑天鹅,空仓,,0.0,0.0,
2025-08-21 20:00:00,112500.0,112870.94,112067.46,BEARISH_SINGULARITY,LONG_MODE,-0.225722071,0.7364675051680669,0.0038447999999999,0.463726493,,,空仓,,0.0,0.0,
2025-08-22 00:00:00,112929.24,113525.0,112335.6,BEARISH_SINGULARITY,LONG_MODE,-0.163794531,0.5865217625946999,0.0052567430720334,0.6799056727198388,,,空仓,,0.0,0.0,
