时间,开盘价,最高价,最低价,收盘价,成交量,信号类型,置信度,描述,张力,加速度,DXY燃料
2025-08-19 20:00:00,113132.49,113589.48,112732.58,112872.94,2625.5971,BEARISH_SINGULARITY,0.7,奇点看空,0.776455352792296,-0.24964201011553044,0.05058366083000685
2025-08-20 00:00:00,112872.95,113636.13,112566.01,113525.91,3116.70576,BEARISH_SINGULARITY,0.7,奇点看空,0.5888154581342092,-0.18537913685275098,0.0926272133600955
2025-08-20 04:00:00,113525.9,113837.93,113432.0,113490.13,1367.41482,BEARISH_SINGULARITY,0.7,奇点看空,0.46181257358966926,-0.1329657519342043,0.0926272133600955
2025-08-20 08:00:00,113490.14,114016.77,113060.08,113666.68,2352.50644,BEARISH_SINGULARITY,0.7,奇点看空,0.410808011857256,-0.10744367495454232,0.0926272133600955
2025-08-20 12:00:00,113666.69,114326.35,112380.0,113353.94,4605.43198,BEARISH_SINGULARITY,0.7,奇点看空,0.4610508304582983,-0.12317488918967734,0.0926272133600955
2025-08-20 16:00:00,113353.94,114444.0,113264.01,114276.66,2624.00614,BEARISH_SINGULARITY,0.7,奇点看空,0.507319939140054,-0.1459803107327296,0.0926272133600955
2025-08-20 20:00:00,114276.66,114615.38,114000.0,114271.24,1570.2768,BEARISH_SINGULARITY,0.7,奇点看空,0.6087008170529308,-0.1889624724581992,0.0926272133600955
2025-08-21 00:00:00,114271.23,114821.76,113906.01,113954.62,1626.72781,BEARISH_SINGULARITY,0.7,奇点看空,0.7375359013352162,-0.24048160559728032,-0.21156689211525573
2025-08-21 04:00:00,113954.62,114033.84,113582.43,113896.03,1612.36321,BEARISH_SINGULARITY,0.7,奇点看空,0.833616105999059,-0.2791557462712454,-0.21156689211525573
2025-08-21 08:00:00,113896.03,113990.0,113000.0,113148.66,1509.65106,BEARISH_SINGULARITY,0.7,奇点看空,0.9081441169611252,-0.30423984600468645,-0.21156689211525573
2025-08-21 12:00:00,113148.65,113995.11,112608.64,112792.08,2521.11028,BEARISH_SINGULARITY,0.7,奇点看空,0.9120268408725936,-0.30192388864614306,-0.21156689211525573
