时间,收盘价,信号类型,描述,V7.0.5通过,V705执行动作,黄金信号
2025/8/19 20:00,112872.94,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),开多
2025/8/20 0:00,113525.91,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),开仓多
2025/8/20 4:00,113490.13,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持多
2025/8/20 8:00,113666.68,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持多
2025/8/20 12:00,113353.94,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持多
2025/8/20 16:00,114276.66,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持多
2025/8/20 20:00,114271.24,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),平仓/反手空
2025/8/21 0:00,113954.62,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持空
2025/8/21 4:00,113896.03,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),空平/反多
2025/8/21 8:00,113148.66,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持多
2025/8/21 12:00,112792.08,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持多
2025/8/21 16:00,112193.71,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),继续持多
2025/8/21 20:00,112500,BEARISH_SINGULARITY,奇点看空,TRUE,做多(反向),空平仓/ 开仓多
2025/8/22 0:00,112929.24,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),继续持多
2025/8/22 4:00,113094.83,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),多平/反空
2025/8/22 8:00,112320,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),继续持空
2025/8/22 16:00,116655.79,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),继续持空
2025/8/22 20:00,116935.99,BEARISH_SINGULARITY,强奇点看空,TRUE,做多(反向),继续持空
