entry_time,exit_time,type,entry_price,exit_price,pnl_pct,pnl_usd,exit_reason,hold_bars,hold_hours,signal_type
2025-08-22 00:00:00,2025-08-22 20:00:00,LONG,112929.24,116935.99,3.5480182103412723,174.9009105170636,高点,4,16,GOLDEN_LONG
2025-08-30 20:00:00,2025-08-31 08:00:00,SHORT,108816.33,108389.76,0.39200917729903867,17.3995474475259,低点,3,12,GOLDEN_SHORT
2025-09-13 16:00:00,2025-09-13 12:00:00,SHORT,115797.12,115768.68,0.024560196315765306,-1.2964506137067728,低点,-1,-4,GOLDEN_SHORT
2025-09-20 20:00:00,2025-09-22 16:00:00,SHORT,115685.63,112122.9,3.079665123490282,154.37664707210334,低点,9,36,GOLDEN_SHORT
2025-10-10 16:00:00,2025-10-10 08:00:00,SHORT,116661.5,121554.55,-4.194228601552357,-219.5408023372424,止损,-2,-8,GOLDEN_SHORT
2025-10-31 16:00:00,2025-10-31 20:00:00,SHORT,109828.78,109608.01,0.20101288569353504,7.645661480670331,低点,1,4,GOLDEN_SHORT
2025-11-01 20:00:00,2025-11-01 20:00:00,SHORT,110098.1,110098.1,0.0,-2.5333713783916036,低点,0,0,GOLDEN_SHORT
2025-12-05 12:00:00,2025-12-05 20:00:00,SHORT,90459.35,89330.04,1.2484171066893717,60.705531771247315,低点,2,8,GOLDEN_SHORT
2025-12-06 08:00:00,2025-12-06 20:00:00,SHORT,89631.28,89236.79,0.4401253669477946,19.880120949298338,低点,3,12,GOLDEN_SHORT
2025-12-14 08:00:00,2025-12-14 20:00:00,SHORT,89360.0,88172.17,1.3292636526410047,65.31624569298202,低点,3,12,GOLDEN_SHORT
2025-12-19 16:00:00,2025-12-19 16:00:00,SHORT,87845.92,87845.92,0.0,-2.5692135101503877,低点,0,0,GOLDEN_SHORT
2025-12-28 04:00:00,2025-12-28 04:00:00,SHORT,87730.85,87730.85,0.0,-2.56857120677285,低点,0,0,GOLDEN_SHORT
2025-12-28 16:00:00,2025-12-28 16:00:00,SHORT,87520.75,87520.75,0.0,-2.5679290639711567,低点,0,0,GOLDEN_SHORT
2026-01-09 08:00:00,2026-01-09 16:00:00,SHORT,90463.11,90332.15,0.1447661925397064,4.8658404377914515,低点,2,8,GOLDEN_SHORT
2026-01-10 16:00:00,2026-01-10 20:00:00,SHORT,90626.54,90504.7,0.13444185334670894,4.337783987968239,低点,1,4,GOLDEN_SHORT
